Category	When Subject	When Object
Mogul	invest_in, fund, finance, lend_to, evict, bribe, exploit,  buy_off, commission, sue, profit_from, are_begged_by	borrow_from, are_evicted_by, rent_from, steal_from, rob, are bought_off_by, repay, are_underpaid_by, owe_to
Lackey	sweat_for, lick_to_up, kiss_up_to, suck_up_to, curry_favor_with, labor_for, cater_to, attend_to, pander_to, serve, lose_favor_with, deliver_for, flatter, are_controlled_by, fail_to_deliver_for, compliment, are_tipped_by, massage	are_attended_by, are_favored_by, are_unimpressed_by, are_unimpressed_by, summon, are_flattered_by, are_betrayed_by, are_served_by, fail_to_reward, are_complimented_by, dismiss
Toady	sweat_for, lick_to_up, kiss_up_to, suck_up_to, curry_favor_with, labor_for, cater_to, attend_to, pander_to, lose_favor_with, deliver_for, flatter, are_controlled_by, fail_to_deliver_for, compliment, are_tipped_by, massage	are_attended_by, are_favored_by, are_unimpressed_by, are_unimpressed_by, summon, are_flattered_by, are_betrayed_by, are_served_by, fail_to_reward, are_complimented_by, dismiss
Executive Assistant	sweat_for, lick_to_up, kiss_up_to, suck_up_to, curry_favor_with, labor_for, cater_to, attend_to, pander_to, massage, lose_favor_with, deliver_for, serve	are_attended_by, are_favored_by, are_unimpressed_by, are_unimpressed_by, summon, fail_to_reward
Police Chief	investigate, probe, arrest, cross_examine, interview, grow_suspicious_of, accuse, interrogate	are_investigated_by, are_probed_by, are_arrested_by, are_imprisoned_by, are_incarcerated_by, confess_to, snitch_to, tip_off, are_accused_by, are_interrogated_by
Ambulance Chaser	trick, deceive, exploit, manipulate, represent, corrupt, bribe, blackmail, pay_off, buy_off, lead_astray, defraud, argue_before	are_represented_by, are_defended_by, are_accused_by,  act_via, act_through, are_bribed_by, are_bought_off_by, are_corrupted_by, are_defrauded_by
Religious Person	preach_to, pray_to, sacrifice_to, worship, look_up_to, pray_with, believe_in, lose_faith_in	are_blessed_by, are_worshipped_by, are_converted_by
Spinster	are_unimpressed_by, are_unimpressed_with, rebuff, spurn	are_spurned_by, are_rebuffed_by
Principal	teach, educate, tutor, discipline, scold	learn_from, study_under, are_taught_by, are_educated_by, are_tutored_by, are_scolded_by, are_disciplined_by
Disciplinarian	discipline, scold, whip	harden_towards, are_scolded_by, are_disciplined_by, are_whipped_by
Juvenile Delinquent	harden_towards, are_scolded_by, are_disciplined_by, are_whipped_by, are_incarcerated_by	discipline, scold, whip, incarcerate, punish
Groundskeeper	sweat_for, labor_for, report_to, are_hired_by	take_advantage_of, hire
Janitor	sweat_for, labor_for, report_to, are_hired_by	take_advantage_of, hire
Software Developer	work_for, create_for, are_hired_by, build_for, design_for	hire, recruit, commission
Statistician	evaluate, review	are_evaluated_by, consult_with, are_advised_by, are_counseled_by, consult
Hedonist	pick_up, woo, seduce, flirt_with, sleep_with, date, charm, molest, are_attended_by, are_spoiled_by	indulge, spoil, cater_to, pander_to, pamper, attend_to
Voyeur	spy_on, watch_over, prey_on, observe	are_observed_by, are_photographed_by
Pervert	spy_on, prey_on, disgust, offend	are_disgusted_by, are_shocked_by, testify_against
Mentalist	impress, mystify, entertain, enchant, trick, fool	are_impressed_by, are_intrigued_by, are_entertained_by, believe_in, lose_faith_in, are_enchanted_by, are_tricked_by, are_fooled_by, are_mystified_by
Slacker	fail_to_deliver_for, fail_to_impress, disappoint, are_fired_by	are_unimpressed_by, are_unimpressed_with, are_disappointed_by
Hippie	preach_to, condescend_to	laugh_at, mock
Bowler	compete_with, are_coached_by, are_trained_by, compete_against, are_disqualified_by	coach, train, play_against, disqualify
Deadbeat	fail_to_deliver_for, fail_to_impress, are_underestimated_by, disappoint	are_unimpressed_by, are_unimpressed_with, underestimate, are_disappointed_by
Replicant	are_hunted_by, are_caught_by, are_tracked_by, run_away_from, flee_from	hunt, stalk, chase, chase_after, capture, track_down, catch, lay_a_trap_for, search_for
Fighter	fight_against, compete_against, beat_up, are_trained_by, are_coached_by, fight_for, beat_up, threaten, are_arrested_for_hurting, intimidate	train, coach, mentor, intimidate_with, threaten_with
Blade Runner	hunt, stalk, chase, chase_after, capture, track_down, catch, lay_a_trap_for, search_for	are_hunted_by, are_caught_by, are_tracked_by, run_away_from, flee_from
Bank Robber	steal_from, rob, are_prosecuted_by, are_charged_by, are_accused_by	are_robbed_by, arrest, capture, imprison, incarcerate, prosecute
Crank	complain_to, resent, criticize, are_frustrated_by, scold, chastise, lose_faith_in, grow_suspicious_of	are_hindered_by, are_criticized_by, anger, are_chastised_by, are_scolded_by, are_driven_mad_by, are_resented_by
Frost Giant	devour, savage, attack, are_tracked_by, kill	are_attacked_by, are_savaged_by, are_devoured_by, exorcize, kill, defeat, banish, hunt, track_down
Forecaster	advise, counsel, mentor, guide, answer_questions_from	confer_with, consult_with, are_advised_by, consult, seek_advice_from, are_counselled_by, are_guided_by
Code Breaker	spy_on, report_to, are_hindered_by, are_challenged_by	challenge
Barbarian	attack, kill_for, are_commanded_by, destroy, fight_with, attack, assault, savage, devour	fight_with, are_attacked_by, are_assaulted_by, are_killed_by, are_savaged_by, destroy
Mercenary	fight_for, kill_for, are_paid_by, profit_from	intimidate_with, threaten_with, refuse_to_pay, withhold_payment_from
She-Devil	attack, assault, insult, mock, taunt, devour, disfigure, curse	are_attacked_by, are_assaulted_by, are_insulted_by, are_taunted_by, are_disfigured_by, are_cursed_by
Proprietor	rent_to, lease_to, evict	rent_from, lease_from, are_evicted_by
Outcast	are_abandoned_by, pine_for, cry_for, let_go_of, are_banished_by, are_pitied_by, are_dismissed_by, are_traumatized_by	abandon, are_missed_by, banish, dismiss, reach_out_to, dismiss, dump, pity, dislike
Nihilist	distrust, lose_faith_in, are_unimpressed_by, are_unimpressed_with	are_distrusted_by, fail_to_impress
Dog	devour, savage, attack, track_down, kill	are_tracked_by, are_devoured_by, are_savaged_by, are_killed_by, are_bitten_by, unleash
Bigot	threaten, intimidate, bully, oppress, suppress, repress, silence, subjugate, imprison, incarcerate, cast_off, suppress, spread_lies_about	are_threatened_by, are_intimidated_by, are_subjugated_by, are_expelled_by, are_suppressed_by, are_mistreated_by
Devil	attack, assault, insult, mock, taunt, devour, spread_lies_about, deceive, manipulate, curse	are_attacked_by, are_assaulted_by, are_insulted_by, are_taunted_by, are_manipulated_by, are_deceived_by, are_cursed_by
Hyperchondriac	are_diagnosed_by	treat, diagnose, are_driven_mad_by
Debtor	owe, owe_to, repay, borrow_from	are_owed_by, are_repaid_by, are_begged_by, finance, fund, lend_to
Bankrupt	owe, owe_to, repay, borrow_from	are_owed_by, are_repaid_by, are_begged_by, finance, fund
Fence	sell_to, are_supplied_by	sell_via, supply, supply_to
Pickpocket	steal_from, rob, are_prosecuted_by, are_charged_by, are_accused_by	are_robbed_by, arrest, capture, imprison, incarcerate, prosecute, punish
Administrator	supervise, delegate_to, recruit, hire, fire	govern_via
Moneylender	are_owed_by, are_repaid_by, are_begged_by, finance, fund, lend_to	owe, owe_to, repay, borrow_from
Mistress	sleep_with, seduce, flirt_with, are_wooed_by, cheat_with, take_up_with	cheat_with, take_up_with
Intern	sweat_for, labor_for, report_to, are_hired_by	take_advantage_of, hire
Radical	are_radicalized_by, are_indoctrinated_by, kill_for, die_for, are_brainwashed_by	radicalize, indoctrinate, brainwash
Suitor	woo, fall_in_love_with, propose_to, flirt_with, break_up_with, pick, select	are_wooed_by, are_seduced_by, are_charmed_by,  sleep_with, are_chosen_by, are_kissed_by
Bachelor	woo, fall_in_love_with, propose_to, flirt_with, break_up_with	are_wooed_by, are_seduced_by, are_charmed_by,  sleep_with, take_up_with
Drifter	travel_with, visit, let_in	are_visited_by, host, let_go_of
Everyman	obtain_sympathy_from	are_moved_by, sympathize_with, identify_with
Petty Criminal	steal_from, rob, are_prosecuted_by, are_charged_by, are_accused_by, are_reported_by, are_forgiven_by	are_robbed_by, arrest, capture, imprison, incarcerate, prosecute, punish, forgive, apprehend
Mutineer	turn_against, rebel_against, stand_up_to, usurp, overthrow, are_suppressed_by	are_usurped_by, are_overthrown_by, are_supplanted_by, suppress
