Root	Comparative
humanized	more humanized
humanizing	more humanizing
humdrum	more humdrum
humid	more humid
humified	more humified
humiliated	more humiliated
humiliating	more humiliating
humming	more humming
humorless	more humorless
humorous	more humorous
humourless	more humourless
humped	more humped
humping	more humping
hunched	more hunched
hunted	more hunted
hunting	more hunting
hurled	more hurled
hurling	more hurling
hurried	more hurried
hurting	more hurting
hushed	more hushed
hustling	more hustling
hybridized	more hybridized
hydrating	more hydrating
hygienic	more hygienic
hyped	more hyped
hyperactive	more hyperactive
hyperlinked	more hyperlinked
hyperventilating	more hyperventilating
hyping	more hyping
hypnotic	more hypnotic
hypothesized	more hypothesized
iced	more iced
icing	more icing
ideal	more ideal
idealistic	more idealistic
idealized	more idealized
identifiable	more identifiable
identified	more identified
identifying	more identifying
idling	more idling
idolized	more idolized
ignited	more ignited
ignorant	more ignorant
illegal	more illegal
illiterate	more illiterate
illuminated	more illuminated
illuminating	more illuminating
illusive	more illusive
illusory	more illusory
illustrated	more illustrated
illustrating	more illustrating
illustrative	more illustrative
imaginative	more imaginative
imagined	more imagined
imaging	more imaging
imbalanced	more imbalanced
imbedded	more imbedded
imitative	more imitative
immaculate	more immaculate
immanent	more immanent
immaterial	more immaterial
immature	more immature
immediate	more immediate
immense	more immense
immersed	more immersed
immobile	more immobile
immodest	more immodest
immoral	more immoral
immortal	more immortal
immovable	more immovable
immunocompromised	more immunocompromised
immunosuppressed	more immunosuppressed
immutable	more immutable
impacted	more impacted
impacting	more impacting
impaired	more impaired
impairing	more impairing
impartial	more impartial
impassioned	more impassioned
impatient	more impatient
impeccable	more impeccable
impending	more impending
impenetrable	more impenetrable
imperative	more imperative
imperceptible	more imperceptible
imperfect	more imperfect
imperious	more imperious
impermanent	more impermanent
impermeable	more impermeable
impersonal	more impersonal
imperturbable	more imperturbable
impervious	more impervious
impish	more impish
implacable	more implacable
implanted	more implanted
implausible	more implausible
implemented	more implemented
implementing	more implementing
implied	more implied
impolite	more impolite
important	more important
imported	more imported
importing	more importing
imposed	more imposed
imposing	more imposing
impossible	more impossible
impotent	more impotent
impoverished	more impoverished
impractical	more impractical
impregnable	more impregnable
impressed	more impressed
impressing	more impressing
impressionable	more impressionable
impressive	more impressive
imprinted	more imprinted
imprinting	more imprinting
imprisoned	more imprisoned
imprisoning	more imprisoning
improbable	more improbable
improvident	more improvident
improvised	more improvised
improvising	more improvising
imprudent	more imprudent
impudent	more impudent
impure	more impure
inaccessible	more inaccessible
inaccurate	more inaccurate
inactive	more inactive
inadequate	more inadequate
inanimate	more inanimate
inarticulate	more inarticulate
inattentive	more inattentive
inauspicious	more inauspicious
inbred	more inbred
incapable	more incapable
incapacitated	more incapacitated
incapacitating	more incapacitating
incarcerated	more incarcerated
incendiary	more incendiary
incessant	more incessant
incidental	more incidental
incised	more incised
incisive	more incisive
incited	more incited
inclined	more inclined
inclusive	more inclusive
incoherent	more incoherent
incoming	more incoming
incompetent	more incompetent
incomplete	more incomplete
incomprehensible	more incomprehensible
inconclusive	more inconclusive
incongruous	more incongruous
inconsequential	more inconsequential
inconsiderable	more inconsiderable
inconsistent	more inconsistent
inconspicuous	more inconspicuous
incontinent	more incontinent
inconvenient	more inconvenient
incorporated	more incorporated
incorrect	more incorrect
incorrigible	more incorrigible
incredible	more incredible
incredulous	more incredulous
incriminating	more incriminating
indecipherable	more indecipherable
indecisive	more indecisive
indefinite	more indefinite
indented	more indented
indentured	more indentured
independent	more independent
indestructible	more indestructible
indeterminate	more indeterminate
indexed	more indexed
indexing	more indexing
indicated	more indicated
indicating	more indicating
indicted	more indicted
indigestible	more indigestible
indiscriminate	more indiscriminate
indispensable	more indispensable
indistinct	more indistinct
individual	more individual
indoctrinated	more indoctrinated
indomitable	more indomitable
induced	more induced
indulged	more indulged
industrialized	more industrialized
industrious	more industrious
inebriated	more inebriated
ineffective	more ineffective
ineffectual	more ineffectual
inelastic	more inelastic
inelegant	more inelegant
inert	more inert
inescapable	more inescapable
inevitable	more inevitable
inexpensive	more inexpensive
inexperienced	more inexperienced
inexplicable	more inexplicable
infallible	more infallible
infamous	more infamous
infatuated	more infatuated
infected	more infected
infectious	more infectious
inferior	more inferior
infertile	more infertile
infested	more infested
infiltrating	more infiltrating
infinite	more infinite
inflamed	more inflamed
inflated	more inflated
inflating	more inflating
inflexible	more inflexible
inflicted	more inflicted
influencing	more influencing
influential	more influential
informal	more informal
informative	more informative
informed	more informed
informing	more informing
infuriated	more infuriated
infused	more infused
ingenious	more ingenious
ingenuous	more ingenuous
ingrained	more ingrained
inhabited	more inhabited
inhabiting	more inhabiting
inhaled	more inhaled
inherited	more inherited
inhospitable	more inhospitable
inhuman	more inhuman
initiated	more initiated
initiating	more initiating
injected	more injected
injecting	more injecting
injured	more injured
inked	more inked
inking	more inking
inky	more inky
innate	more innate
innocent	more innocent
innocuous	more innocuous
innovating	more innovating
inoffensive	more inoffensive
inoperable	more inoperable
inorganic	more inorganic
inquiring	more inquiring
inquisitive	more inquisitive
insatiable	more insatiable
inscribed	more inscribed
inscrutable	more inscrutable
insecure	more insecure
insensate	more insensate
insensible	more insensible
insensitive	more insensitive
inseparable	more inseparable
inserted	more inserted
insidious	more insidious
insightful	more insightful
insignificant	more insignificant
insinuating	more insinuating
insistent	more insistent
inspected	more inspected
inspecting	more inspecting
inspired	more inspired
inspiring	more inspiring
installed	more installed
installing	more installing
instant	more instant
instantaneous	more instantaneous
instilled	more instilled
instinctive	more instinctive
institutionalized	more institutionalized
instructing	more instructing
instructive	more instructive
insubstantial	more insubstantial
insufficient	more insufficient
insular	more insular
insulated	more insulated
insulating	more insulating
insulting	more insulting
insured	more insured
insuring	more insuring
insurmountable	more insurmountable
intangible	more intangible
integrated	more integrated
integrating	more integrating
intellectual	more intellectual
intelligent	more intelligent
intended	more intended
intensified	more intensified
intensive	more intensive
intent	more intent
interacting	more interacting
interactive	more interactive
intercepted	more intercepted
interconnected	more interconnected
interconnecting	more interconnecting
interested	more interested
interesting	more interesting
interfering	more interfering
interlaced	more interlaced
interlinked	more interlinked
interlocked	more interlocked
interlocking	more interlocking
intermediate	more intermediate
intermingled	more intermingled
international	more international
interpolated	more interpolated
interpreted	more interpreted
interpreting	more interpreting
interrelated	more interrelated
interrupted	more interrupted
interrupting	more interrupting
interspersed	more interspersed
intertwined	more intertwined
intertwining	more intertwining
intervening	more intervening
interviewed	more interviewed
interviewing	more interviewing
intimate	more intimate
intimated	more intimated
intimidating	more intimidating
intoxicated	more intoxicated
intoxicating	more intoxicating
intractable	more intractable
intrepid	more intrepid
intricate	more intricate
intriguing	more intriguing
introducing	more introducing
introverted	more introverted
intruding	more intruding
intrusive	more intrusive
intuitive	more intuitive
inundated	more inundated
invading	more invading
invalidated	more invalidated
invasive	more invasive
invented	more invented
inventing	more inventing
inventive	more inventive
inverted	more inverted
invested	more invested
investigated	more investigated
investigating	more investigating
investing	more investing
invigorating	more invigorating
inviolable	more inviolable
invisible	more invisible
invited	more invited
inviting	more inviting
invoicing	more invoicing
invoked	more invoked
involuntary	more involuntary
involved	more involved
invulnerable	more invulnerable
ionized	more ionized
ionizing	more ionizing
irate	more irate
iridescent	more iridescent
irksome	more irksome
irradiated	more irradiated
irrational	more irrational
irregular	more irregular
irrelevant	more irrelevant
irreligious	more irreligious
irreplaceable	more irreplaceable
irrepressible	more irrepressible
irresistible	more irresistible
irresponsible	more irresponsible
irreverent	more irreverent
irreversible	more irreversible
irrevocable	more irrevocable
irrigated	more irrigated
irritable	more irritable
irritating	more irritating
isolated	more isolated
issued	more issued
issuing	more issuing
itching	more itching
itemized	more itemized
iterated	more iterated
jabbering	more jabbering
jabbing	more jabbing
jaded	more jaded
jagged	more jagged
jailed	more jailed
jammed	more jammed
jamming	more jamming
jangling	more jangling
jangly	more jangly
jarring	more jarring
jaundiced	more jaundiced
jealous	more jealous
jeopardized	more jeopardized
jerking	more jerking
jesting	more jesting
jetting	more jetting
jeweled	more jeweled
jigging	more jigging
jilted	more jilted
jingling	more jingling
jittery	more jittery
jocular	more jocular
jogging	more jogging
jointed	more jointed
joking	more joking
jolting	more jolting
jousting	more jousting
joyful	more joyful
joyous	more joyous
judged	more judged
judging	more judging
juggling	more juggling
juiced	more juiced
jumbled	more jumbled
jumping	more jumping
junior	more junior
junked	more junked
juried	more juried
justified	more justified
jutting	more jutting
kayaking	more kayaking
keening	more keening
keyed	more keyed
kicked	more kicked
kicking	more kicking
kidnapped	more kidnapped
kidnapping	more kidnapping
killed	more killed
killing	more killing
kindhearted	more kindhearted
kindled	more kindled
kingly	more kingly
kissing	more kissing
kneading	more kneading
kneeling	more kneeling
knitted	more knitted
knitting	more knitting
knobbly	more knobbly
knotted	more knotted
knowledgeable	more knowledgeable
kosher	more kosher
labeled	more labeled
labeling	more labeling
labelled	more labelled
laboring	more laboring
labyrinthine	more labyrinthine
laced	more laced
laconic	more laconic
lacquered	more lacquered
lactating	more lactating
lacy	more lacy
ladylike	more ladylike
laid	more laid
laidback	more laidback
lamenting	more lamenting
laminated	more laminated
landed	more landed
landing	more landing
landscaped	more landscaped
landscaping	more landscaping
languid	more languid
languishing	more languishing
lapping	more lapping
lashing	more lashing
lasting	more lasting
laughable	more laughable
laughing	more laughing
launched	more launched
launching	more launching
lawmaking	more lawmaking
layered	more layered
laying	more laying
lazing	more lazing
leached	more leached
leaded	more leaded
leaden	more leaden
leading	more leading
leaked	more leaked
leaking	more leaking
leaning	more leaning
leaping	more leaping
learned	more learned
learning	more learning
leased	more leased
leashed	more leashed
leasing	more leasing
leathery	more leathery
leavened	more leavened
lecherous	more lecherous
lecturing	more lecturing
leeching	more leeching
leering	more leering
legal	more legal
legalized	more legalized
legible	more legible
legislated	more legislated
legislating	more legislating
legitimate	more legitimate
leisurely	more leisurely
lending	more lending
lengthening	more lengthening
lent	more lent
lethal	more lethal
lethargic	more lethargic
leveled	more leveled
leveraged	more leveraged
lexicalized	more lexicalized
liable	more liable
liberal	more liberal
liberalizing	more liberalizing
liberated	more liberated
liberating	more liberating
licensed	more licensed
licensing	more licensing
licked	more licked
licking	more licking
lifeless	more lifeless
lifesaving	more lifesaving
lifted	more lifted
lifting	more lifting
lighted	more lighted
lightheaded	more lightheaded
lighthearted	more lighthearted
lighting	more lighting
lightweight	more lightweight
likable	more likable
lilting	more lilting
limber	more limber
limited	more limited
limiting	more limiting
limitless	more limitless
limpid	more limpid
limping	more limping
linear	more linear
lined	more lined
lingering	more lingering
linked	more linked
linking	more linking
lipophilic	more lipophilic
liquefied	more liquefied
liquid	more liquid
liquidating	more liquidating
listed	more listed
listening	more listening
listing	more listing
listless	more listless
literal	more literal
lithe	more lithe
littered	more littered
livable	more livable
livid	more livid
living	more living
loaded	more loaded
loading	more loading
loaned	more loaned
loathsome	more loathsome
lobbying	more lobbying
local	more local
localized	more localized
locked	more locked
locking	more locking
lodging	more lodging
lofted	more lofted
logged	more logged
logging	more logging
logical	more logical
longing	more longing
longstanding	more longstanding
longwinded	more longwinded
loomed	more loomed
looming	more looming
looped	more looped
loosening	more loosening
looted	more looted
looting	more looting
loping	more loping
lopsided	more lopsided
losing	more losing
lounging	more lounging
lovable	more lovable
loveable	more loveable
loved	more loved
lovemaking	more lovemaking
loving	more loving
lowering	more lowering
loyal	more loyal
lubricated	more lubricated
lubricating	more lubricating
lubricious	more lubricious
lucid	more lucid
lucrative	more lucrative
ludicrous	more ludicrous
lugging	more lugging
lumbering	more lumbering
luminescent	more luminescent
luminous	more luminous
lunging	more lunging
lurching	more lurching
luring	more luring
lurking	more lurking
luscious	more luscious
lustrous	more lustrous
luxurious	more luxurious
lying	more lying
lyrical	more lyrical
macabre	more macabre
machined	more machined
macho	more macho
maddened	more maddened
maddening	more maddening
magical	more magical
magisterial	more magisterial
magnetized	more magnetized
magnificent	more magnificent
magnified	more magnified
magnifying	more magnifying
mailed	more mailed
maintained	more maintained
maintaining	more maintaining
majestic	more majestic
major	more major
making	more making
malformed	more malformed
malfunctioning	more malfunctioning
malicious	more malicious
malignant	more malignant
malleable	more malleable
malnourished	more malnourished
malted	more malted
malting	more malting
managed	more managed
managing	more managing
mandated	more mandated
maneuverable	more maneuverable
mangled	more mangled
mangling	more mangling
manicured	more manicured
manifested	more manifested
manipulated	more manipulated
manipulating	more manipulating
manipulative	more manipulative
manned	more manned
manoeuvrable	more manoeuvrable
manufactured	more manufactured
manufacturing	more manufacturing
mapped	more mapped
mapping	more mapping
marauding	more marauding
marbled	more marbled
marbling	more marbling
marching	more marching
marginalized	more marginalized
marinated	more marinated
marked	more marked
marketed	more marketed
marketing	more marketing
marking	more marking
married	more married
marrying	more marrying
marshalling	more marshalling
martyred	more martyred
masculine	more masculine
mashed	more mashed
masked	more masked
massaging	more massaging
massed	more massed
massive	more massive
mastered	more mastered
masterful	more masterful
mastering	more mastering
matching	more matching
materialized	more materialized
mathematical	more mathematical
mating	more mating
matted	more matted
matured	more matured
maturing	more maturing
meager	more meager
meandering	more meandering
meaningful	more meaningful
meaningless	more meaningless
measured	more measured
measuring	more measuring
mechanical	more mechanical
mechanized	more mechanized
meddling	more meddling
meditating	more meditating
meditative	more meditative
meeting	more meeting
melodic	more melodic
melodious	more melodious
melodramatic	more melodramatic
melted	more melted
melting	more melting
memorable	more memorable
memorized	more memorized
menacing	more menacing
mentoring	more mentoring
meowing	more meowing
merchandising	more merchandising
merciful	more merciful
merciless	more merciless
mercurial	more mercurial
merited	more merited
meshed	more meshed
mesmerizing	more mesmerizing
metallic	more metallic
metered	more metered
methodical	more methodical
meticulous	more meticulous
microscopic	more microscopic
midwestern	more midwestern
migrating	more migrating
milked	more milked
milled	more milled
milling	more milling
mincing	more mincing
mindless	more mindless
mined	more mined
mineralized	more mineralized
mingling	more mingling
miniaturized	more miniaturized
mining	more mining
miniscule	more miniscule
ministering	more ministering
minor	more minor
minuscule	more minuscule
miraculous	more miraculous
mirrored	more mirrored
misbehaving	more misbehaving
mischievous	more mischievous
misdirected	more misdirected
miserable	more miserable
misfolded	more misfolded
misguided	more misguided
misleading	more misleading
mismatched	more mismatched
misplaced	more misplaced
misshapen	more misshapen
misting	more misting
mistreated	more mistreated
mixed	more mixed
mixing	more mixing
moaned	more moaned
moaning	more moaning
mobbed	more mobbed
mobile	more mobile
mobilized	more mobilized
mocking	more mocking
modeling	more modeling
moderated	more moderated
modernized	more modernized
modernizing	more modernizing
modest	more modest
modified	more modified
modulated	more modulated
modulating	more modulating
moistened	more moistened
moistening	more moistening
moisturized	more moisturized
moisturizing	more moisturizing
molded	more molded
molding	more molding
molested	more molested
molesting	more molesting
moneyed	more moneyed
moneymaking	more moneymaking
monitored	more monitored
monitoring	more monitoring
monochromatic	more monochromatic
monotonous	more monotonous
monstrous	more monstrous
mooching	more mooching
mooning	more mooning
moored	more moored
mooring	more mooring
moral	more moral
moralizing	more moralizing
morbid	more morbid
mordant	more mordant
moronic	more moronic
morphing	more morphing
mortal	more mortal
moshing	more moshing
motionless	more motionless
motivated	more motivated
motivating	more motivating
motley	more motley
motoring	more motoring
motorized	more motorized
mottled	more mottled
mottling	more mottling
moulded	more moulded
mouldering	more mouldering
mounded	more mounded
mounted	more mounted
mounting	more mounting
mournful	more mournful
mourning	more mourning
mousing	more mousing
mouthwatering	more mouthwatering
movable	more movable
moving	more moving
mowed	more mowed
mowing	more mowing
muckraking	more muckraking
muddied	more muddied
muddled	more muddled
muffled	more muffled
mugging	more mugging
mulled	more mulled
multicolored	more multicolored
multifaceted	more multifaceted
multiplying	more multiplying
multithreaded	more multithreaded
mumbled	more mumbled
mumbling	more mumbling
mummified	more mummified
munching	more munching
mundane	more mundane
murdered	more murdered
murdering	more murdering
murmuring	more murmuring
muscled	more muscled
muscular	more muscular
musical	more musical
mutable	more mutable
mutated	more mutated
mutating	more mutating
muted	more muted
mutilated	more mutilated
muttered	more muttered
muzzled	more muzzled
myopic	more myopic
mysterious	more mysterious
mystifying	more mystifying
mythological	more mythological
nagging	more nagging
nailbiting	more nailbiting
nailed	more nailed
naive	more naive
named	more named
naming	more naming
napping	more napping
narrated	more narrated
narrowminded	more narrowminded
national	more national
nationalized	more nationalized
natural	more natural
naturalized	more naturalized
nauseating	more nauseating
navigating	more navigating
nebulous	more nebulous
necessitated	more necessitated
needed	more needed
needling	more needling
negative	more negative
neglected	more neglected
negligible	more negligible
negotiated	more negotiated
negotiating	more negotiating
neighboring	more neighboring
neoclassical	more neoclassical
nerveless	more nerveless
nervewracking	more nervewracking
nervous	more nervous
nested	more nested
nesting	more nesting
nestled	more nestled
netted	more netted
netting	more netting
networked	more networked
networking	more networking
neurotic	more neurotic
neutered	more neutered
neutral	more neutral
nibbling	more nibbling
niggling	more niggling
nocturnal	more nocturnal
nodding	more nodding
noiseless	more noiseless
nominated	more nominated
nonchalant	more nonchalant
nonconforming	more nonconforming
nondescript	more nondescript
nonviolent	more nonviolent
normal	more normal
normalized	more normalized
normalizing	more normalizing
nosey	more nosey
nostalgic	more nostalgic
notable	more notable
notched	more notched
noticeable	more noticeable
nourishing	more nourishing
noxious	more noxious
nuanced	more nuanced
nucleated	more nucleated
nugatory	more nugatory
numbered	more numbered
numbing	more numbing
numerate	more numerate
nursing	more nursing
nurtured	more nurtured
nurturing	more nurturing
nutritious	more nutritious
nuts	more nuts
obedient	more obedient
obese	more obese
obeyed	more obeyed
obeying	more obeying
objective	more objective
obligated	more obligated
obligatory	more obligatory
obliging	more obliging
oblique	more oblique
oblivious	more oblivious
oblong	more oblong
obnoxious	more obnoxious
obscene	more obscene
obscuring	more obscuring
obsequious	more obsequious
observant	more observant
observing	more observing
obsessed	more obsessed
obsolete	more obsolete
obstinate	more obstinate
obtuse	more obtuse
obvious	more obvious
occupied	more occupied
occupying	more occupying
oceangoing	more oceangoing
odious	more odious
offended	more offended
offending	more offending
offensive	more offensive
offered	more offered
official	more official
officiating	more officiating
ogling	more ogling
oiled	more oiled
oiling	more oiling
ominous	more ominous
omnivorous	more omnivorous
oncoming	more oncoming
onesided	more onesided
onstage	more onstage
oozing	more oozing
opaque	more opaque
opened	more opened
opening	more opening
operated	more operated
operating	more operating
opinionated	more opinionated
opposable	more opposable
opposed	more opposed
opposing	more opposing
oppressed	more oppressed
oppressing	more oppressing
oppressive	more oppressive
optimistic	more optimistic
optimized	more optimized
optional	more optional
orbiting	more orbiting
orchestrated	more orchestrated
ordained	more ordained
ordered	more ordered
ordering	more ordering
orderly	more orderly
organic	more organic
organised	more organised
organized	more organized
organizing	more organizing
oriented	more oriented
orienteering	more orienteering
orienting	more orienting
original	more original
ornamented	more ornamented
ornate	more ornate
orotund	more orotund
orphaned	more orphaned
oscillating	more oscillating
ostentatious	more ostentatious
outcast	more outcast
outdated	more outdated
outgoing	more outgoing
outlawed	more outlawed
outlined	more outlined
outlining	more outlining
outlying	more outlying
outmoded	more outmoded
outnumbered	more outnumbered
outraged	more outraged
outsourced	more outsourced
outsourcing	more outsourcing
outspoken	more outspoken
overarching	more overarching
overbearing	more overbearing
overburdened	more overburdened
overcharged	more overcharged
overcooked	more overcooked
overcrowded	more overcrowded
overdrawn	more overdrawn
overdue	more overdue
overexposed	more overexposed
overextended	more overextended
overflowing	more overflowing
overhanging	more overhanging
overheated	more overheated
overheating	more overheating
overloaded	more overloaded
overlooked	more overlooked
overlooking	more overlooking
overlying	more overlying
overplayed	more overplayed
overpopulated	more overpopulated
overpowering	more overpowering
overpriced	more overpriced
overreaching	more overreaching
overseas	more overseas
overseeing	more overseeing
oversimplified	more oversimplified
oversized	more oversized
overstretched	more overstretched
overstuffed	more overstuffed
overt	more overt
overtaking	more overtaking
overtired	more overtired
overturned	more overturned
overused	more overused
overweening	more overweening
overwhelmed	more overwhelmed
overwhelming	more overwhelming
overworked	more overworked
owed	more owed
owing	more owing
owned	more owned
owning	more owning
oxidizing	more oxidizing
paced	more paced
pacing	more pacing
packaged	more packaged
packaging	more packaging
packed	more packed
packing	more packing
padded	more padded
padding	more padding
paddling	more paddling
paged	more paged
paging	more paging
paid	more paid
pained	more pained
painful	more painful
painless	more painless
painstaking	more painstaking
painted	more painted
painting	more painting
pallid	more pallid
palpable	more palpable
palpitating	more palpitating
pampered	more pampered
pampering	more pampering
pandering	more pandering
panhandling	more panhandling
panicked	more panicked
panning	more panning
panting	more panting
paralyzed	more paralyzed
paralyzing	more paralyzing
parameterized	more parameterized
paranoid	more paranoid
parasitic	more parasitic
parasitized	more parasitized
parched	more parched
parching	more parching
parenting	more parenting
parked	more parked
parking	more parking
parsed	more parsed
parsing	more parsing
participating	more participating
partisan	more partisan
partitioned	more partitioned
partitioning	more partitioning
partnering	more partnering
partying	more partying
passed	more passed
passing	more passing
passionate	more passionate
passionless	more passionless
passive	more passive
pasteurized	more pasteurized
patched	more patched
patented	more patented
patenting	more patenting
pathetic	more pathetic
patient	more patient
patriotic	more patriotic
patrolled	more patrolled
patrolling	more patrolling
patterned	more patterned
paved	more paved
pawing	more pawing
paying	more paying
peaceful	more peaceful
peaked	more peaked
pecking	more pecking
peculiar	more peculiar
peddling	more peddling
pedestrian	more pedestrian
pedigreed	more pedigreed
peeing	more peeing
peeled	more peeled
peeling	more peeling
peeping	more peeping
peering	more peering
peevish	more peevish
penalizing	more penalizing
penetrating	more penetrating
penned	more penned
peppered	more peppered
perceived	more perceived
perceptible	more perceptible
perceptive	more perceptive
perched	more perched
perching	more perching
percussive	more percussive
perennial	more perennial
perfected	more perfected
perforated	more perforated
performed	more performed
performing	more performing
perfumed	more perfumed
perilous	more perilous
periodic	more periodic
peripheral	more peripheral
perishable	more perishable
permanent	more permanent
permeable	more permeable
permitting	more permitting
pernicious	more pernicious
perpendicular	more perpendicular
perplexed	more perplexed
perplexing	more perplexing
persecuted	more persecuted
persecuting	more persecuting
persevering	more persevering
persistent	more persistent
personal	more personal
personalized	more personalized
personalizing	more personalizing
personified	more personified
persuading	more persuading
persuasive	more persuasive
pert	more pert
pertinacious	more pertinacious
pervading	more pervading
pervasive	more pervasive
perverted	more perverted
pestering	more pestering
petite	more petite
petitioning	more petitioning
petrified	more petrified
petted	more petted
philandering	more philandering
philosophical	more philosophical
philosophizing	more philosophizing
photocopied	more photocopied
photogenic	more photogenic
photographed	more photographed
photographing	more photographing
physical	more physical
picked	more picked
picketing	more picketing
picking	more picking
pickled	more pickled
pieced	more pieced
pierced	more pierced
piercing	more piercing
pigheaded	more pigheaded
pigmented	more pigmented
pilfering	more pilfering
pillaging	more pillaging
piloting	more piloting
pimped	more pimped
pimping	more pimping
pining	more pining
pinned	more pinned
pinpointed	more pinpointed
pioneering	more pioneering
pious	more pious
piped	more piped
piquant	more piquant
pirating	more pirating
pissed	more pissed
pitched	more pitched
pitching	more pitching
pitied	more pitied
pitiless	more pitiless
pitted	more pitted
pitting	more pitting
pitying	more pitying
pivoting	more pivoting
placid	more placid
plaintive	more plaintive
planed	more planed
planing	more planing
planned	more planned
planning	more planning
planted	more planted
planting	more planting
plastered	more plastered
plastering	more plastering
plastic	more plastic
plated	more plated
platonic	more platonic
playable	more playable
played	more played
playful	more playful
playing	more playing
playmaking	more playmaking
pleading	more pleading
pleased	more pleased
pleasing	more pleasing
pleasurable	more pleasurable
pleated	more pleated
plebeian	more plebeian
plentiful	more plentiful
pliable	more pliable
pliant	more pliant
plodding	more plodding
plotted	more plotted
plotting	more plotting
ploughing	more ploughing
plowed	more plowed
plowing	more plowing
plucked	more plucked
plucking	more plucking
plugged	more plugged
plumbing	more plumbing
plumped	more plumped
plundering	more plundering
plunging	more plunging
poached	more poached
poaching	more poaching
pockmarked	more pockmarked
poetic	more poetic
poetical	more poetical
poignant	more poignant
pointed	more pointed
pointing	more pointing
pointless	more pointless
poised	more poised
poisoned	more poisoned
poisoning	more poisoning
poisonous	more poisonous
pokey	more pokey
poking	more poking
polarized	more polarized
polarizing	more polarizing
policing	more policing
policymaking	more policymaking
polished	more polished
polishing	more polishing
political	more political
politicized	more politicized
polling	more polling
polluted	more polluted
polluting	more polluting
ponderous	more ponderous
pontificating	more pontificating
popped	more popped
popping	more popping
popular	more popular
popularized	more popularized
popularizing	more popularizing
populated	more populated
populous	more populous
pornographic	more pornographic
porous	more porous
portable	more portable
portentous	more portentous
posed	more posed
posing	more posing
positioning	more positioning
positive	more positive
possessed	more possessed
posted	more posted
posting	more posting
postulated	more postulated
posturing	more posturing
potent	more potent
potholed	more potholed
potted	more potted
pounded	more pounded
pounding	more pounding
poured	more poured
pouring	more pouring
pouting	more pouting
powdered	more powdered
powered	more powered
powering	more powering
powerless	more powerless
practical	more practical
practiced	more practiced
practicing	more practicing
pragmatic	more pragmatic
prancing	more prancing
praying	more praying
preached	more preached
preaching	more preaching
precious	more precious
precise	more precise
preconceived	more preconceived
predatory	more predatory
predefined	more predefined
predestined	more predestined
predetermined	more predetermined
predictable	more predictable
predicted	more predicted
predicting	more predicting
predisposing	more predisposing
preening	more preening
prefabricated	more prefabricated
preferred	more preferred
pregnant	more pregnant
preheated	more preheated
prejudiced	more prejudiced
premeditated	more premeditated
preordained	more preordained
prepared	more prepared
preparing	more preparing
prescient	more prescient
prescribed	more prescribed
prescribing	more prescribing
prescriptive	more prescriptive
presentable	more presentable
presented	more presented
presenting	more presenting
preserved	more preserved
preserving	more preserving
presidential	more presidential
presiding	more presiding
pressed	more pressed
pressing	more pressing
pressurised	more pressurised
pressurized	more pressurized
prestigious	more prestigious
pretending	more pretending
pretentious	more pretentious
priceless	more priceless
pricey	more pricey
pricked	more pricked
pricking	more pricking
primary	more primary
primed	more primed
priming	more priming
primitive	more primitive
principled	more principled
printed	more printed
printing	more printing
prioritizing	more prioritizing
prismatic	more prismatic
pristine	more pristine
privileged	more privileged
prized	more prized
probing	more probing
processed	more processed
processing	more processing
proclaimed	more proclaimed
procured	more procured
prodigal	more prodigal
prodigious	more prodigious
produced	more produced
producing	more producing
productive	more productive
profane	more profane
professed	more professed
professional	more professional
profitable	more profitable
profiteering	more profiteering
profiting	more profiting
programmed	more programmed
programming	more programming
progressing	more progressing
progressive	more progressive
prohibited	more prohibited
projected	more projected
projecting	more projecting
prolife	more prolife
proliferating	more proliferating
prolific	more prolific
prolonged	more prolonged
promiscuous	more promiscuous
promising	more promising
promoted	more promoted
promoting	more promoting
pronounced	more pronounced
propagated	more propagated
propagating	more propagating
propelled	more propelled
propelling	more propelling
proper	more proper
proposed	more proposed
proposing	more proposing
proprietary	more proprietary
proscribed	more proscribed
prosecuted	more prosecuted
proselytizing	more proselytizing
prospecting	more prospecting
protected	more protected
protecting	more protecting
protective	more protective
protesting	more protesting
prototyping	more prototyping
protracted	more protracted
protruding	more protruding
proved	more proved
proven	more proven
providing	more providing
provocative	more provocative
provoked	more provoked
provoking	more provoking
prowling	more prowling
prudent	more prudent
pruned	more pruned
pruning	more pruning
public	more public
publicizing	more publicizing
published	more published
publishing	more publishing
puckered	more puckered
puffed	more puffed
puffing	more puffing
pugilistic	more pugilistic
pugnacious	more pugnacious
pulled	more pulled
pulling	more pulling
pulsating	more pulsating
pulsed	more pulsed
pulsing	more pulsing
pulverized	more pulverized
pulverizing	more pulverizing
pummeling	more pummeling
pumped	more pumped
pumping	more pumping
punched	more punched
punching	more punching
punctual	more punctual
punctuated	more punctuated
punctured	more punctured
pungent	more pungent
punished	more punished
punishing	more punishing
punning	more punning
punting	more punting
purchased	more purchased
purchasing	more purchasing
purebred	more purebred
pureed	more pureed
purged	more purged
purging	more purging
purified	more purified
purifying	more purifying
purposeful	more purposeful
purposeless	more purposeless
purring	more purring
pursued	more pursued
pursuing	more pursuing
pushed	more pushed
pushing	more pushing
putting	more putting
puzzled	more puzzled
puzzling	more puzzling
qualified	more qualified
qualifying	more qualifying
quantitative	more quantitative
quarreling	more quarreling
quarrelsome	more quarrelsome
quarrying	more quarrying
quenched	more quenched
quenching	more quenching
