Root	Superlative
jagged	most jagged
jailed	most jailed
jammed	most jammed
jamming	most jamming
jarring	most jarring
jaundiced	most jaundiced
jealous	most jealous
jeopardized	most jeopardized
jittery	most jittery
jocular	most jocular
jogging	most jogging
jolting	most jolting
joyous	most joyous
judged	most judged
judging	most judging
juggling	most juggling
juiced	most juiced
jumbled	most jumbled
jumping	most jumping
junior	most junior
juried	most juried
justified	most justified
kayaking	most kayaking
keyed	most keyed
kicked	most kicked
kicking	most kicking
kidnapping	most kidnapping
killed	most killed
killing	most killing
kindhearted	most kindhearted
kindled	most kindled
kissing	most kissing
knitted	most knitted
knitting	most knitting
knotted	most knotted
knowledgeable	most knowledgeable
kosher	most kosher
labeled	most labeled
labeling	most labeling
labelled	most labelled
laboring	most laboring
labyrinthine	most labyrinthine
laced	most laced
laconic	most laconic
lacquered	most lacquered
lactating	most lactating
ladylike	most ladylike
laid	most laid
laidback	most laidback
lambent	most lambent
lamenting	most lamenting
laminated	most laminated
landed	most landed
landing	most landing
landscaped	most landscaped
landscaping	most landscaping
languid	most languid
languishing	most languishing
lasting	most lasting
laughable	most laughable
laughing	most laughing
launched	most launched
launching	most launching
lawmaking	most lawmaking
layered	most layered
laying	most laying
leaded	most leaded
leaden	most leaden
leading	most leading
leaked	most leaked
leaking	most leaking
leaning	most leaning
leaping	most leaping
learned	most learned
learning	most learning
leased	most leased
leasing	most leasing
leathery	most leathery
lecherous	most lecherous
lecturing	most lecturing
leering	most leering
left	most left
legal	most legal
legalized	most legalized
legible	most legible
legislated	most legislated
legitimate	most legitimate
leisurely	most leisurely
lending	most lending
lent	most lent
lethal	most lethal
lethargic	most lethargic
leveled	most leveled
leveraged	most leveraged
liable	most liable
liberal	most liberal
liberalizing	most liberalizing
liberated	most liberated
liberating	most liberating
licensed	most licensed
licensing	most licensing
lifeless	most lifeless
lifesaving	most lifesaving
lifted	most lifted
lifting	most lifting
lighted	most lighted
lighthearted	most lighthearted
lighting	most lighting
lightweight	most lightweight
likable	most likable
lilting	most lilting
limber	most limber
limited	most limited
limiting	most limiting
limitless	most limitless
limpid	most limpid
linear	most linear
lined	most lined
lingering	most lingering
linked	most linked
linking	most linking
lipophilic	most lipophilic
liquid	most liquid
listed	most listed
listening	most listening
listing	most listing
listless	most listless
literal	most literal
littered	most littered
livable	most livable
livid	most livid
living	most living
loaded	most loaded
loading	most loading
loaned	most loaned
loathsome	most loathsome
lobbied	most lobbied
lobbying	most lobbying
local	most local
localized	most localized
locked	most locked
locking	most locking
lodging	most lodging
lofted	most lofted
logged	most logged
logging	most logging
logical	most logical
longhaired	most longhaired
longing	most longing
longstanding	most longstanding
longwinded	most longwinded
looming	most looming
looted	most looted
looting	most looting
lopsided	most lopsided
losing	most losing
lovable	most lovable
loveable	most loveable
loved	most loved
loving	most loving
lowering	most lowering
lubricated	most lubricated
lubricating	most lubricating
lubricious	most lubricious
lucid	most lucid
lucrative	most lucrative
ludicrous	most ludicrous
lumbering	most lumbering
luminescent	most luminescent
luminous	most luminous
luring	most luring
luscious	most luscious
lustrous	most lustrous
luxurious	most luxurious
lying	most lying
lyrical	most lyrical
macabre	most macabre
machined	most machined
macho	most macho
maddening	most maddening
magical	most magical
magisterial	most magisterial
magnificent	most magnificent
magnified	most magnified
mailed	most mailed
maintained	most maintained
maintaining	most maintaining
majestic	most majestic
major	most major
making	most making
malformed	most malformed
malicious	most malicious
malignant	most malignant
malleable	most malleable
malnourished	most malnourished
managed	most managed
managing	most managing
mandated	most mandated
maneuverable	most maneuverable
mangled	most mangled
manicured	most manicured
manifested	most manifested
manipulated	most manipulated
manipulating	most manipulating
manipulative	most manipulative
manned	most manned
manoeuvrable	most manoeuvrable
manufactured	most manufactured
manufacturing	most manufacturing
mapped	most mapped
mapping	most mapping
marbled	most marbled
marbling	most marbling
marching	most marching
marginalized	most marginalized
marked	most marked
marketed	most marketed
marketing	most marketing
marking	most marking
married	most married
marrying	most marrying
marshalling	most marshalling
martyred	most martyred
masculine	most masculine
mashed	most mashed
masked	most masked
massive	most massive
mastered	most mastered
masterful	most masterful
mastering	most mastering
matching	most matching
materialized	most materialized
mathematical	most mathematical
mating	most mating
matted	most matted
matured	most matured
maturing	most maturing
meager	most meager
meandering	most meandering
meaningful	most meaningful
meaningless	most meaningless
measured	most measured
measuring	most measuring
mechanical	most mechanical
mechanized	most mechanized
meddling	most meddling
meditative	most meditative
meeting	most meeting
melodic	most melodic
melodious	most melodious
melodramatic	most melodramatic
melted	most melted
melting	most melting
memorable	most memorable
memorized	most memorized
menacing	most menacing
mentoring	most mentoring
merchandising	most merchandising
merciful	most merciful
merciless	most merciless
mercurial	most mercurial
merited	most merited
mesmerizing	most mesmerizing
metallic	most metallic
metered	most metered
methodical	most methodical
meticulous	most meticulous
microscopic	most microscopic
midwestern	most midwestern
migrating	most migrating
milled	most milled
milling	most milling
mindless	most mindless
mined	most mined
mineralized	most mineralized
miniaturized	most miniaturized
mining	most mining
miniscule	most miniscule
minor	most minor
minuscule	most minuscule
miraculous	most miraculous
mirrored	most mirrored
misbehaving	most misbehaving
mischievous	most mischievous
misdirected	most misdirected
miserable	most miserable
misguided	most misguided
misleading	most misleading
mismatched	most mismatched
misplaced	most misplaced
misshapen	most misshapen
mistreated	most mistreated
mixed	most mixed
mixing	most mixing
mobbed	most mobbed
mobile	most mobile
mobilized	most mobilized
mocking	most mocking
modeling	most modeling
moderated	most moderated
modern	most modern
modernized	most modernized
modified	most modified
modulated	most modulated
moisturizing	most moisturizing
molded	most molded
molding	most molding
molested	most molested
moneyed	most moneyed
moneymaking	most moneymaking
monitored	most monitored
monitoring	most monitoring
monochromatic	most monochromatic
monotonous	most monotonous
monstrous	most monstrous
mooring	most mooring
moral	most moral
moralizing	most moralizing
morbid	most morbid
mordant	most mordant
moronic	most moronic
morphing	most morphing
mortal	most mortal
motionless	most motionless
motivated	most motivated
motivating	most motivating
motley	most motley
motoring	most motoring
motorized	most motorized
moulded	most moulded
mounted	most mounted
mounting	most mounting
mournful	most mournful
mouthwatering	most mouthwatering
movable	most movable
moving	most moving
mowing	most mowing
muddled	most muddled
muffled	most muffled
multicolored	most multicolored
multifaceted	most multifaceted
multithreaded	most multithreaded
mundane	most mundane
murdered	most murdered
murmured	most murmured
muscled	most muscled
muscular	most muscular
musical	most musical
mutable	most mutable
mutated	most mutated
muted	most muted
mutilated	most mutilated
myopic	most myopic
mysterious	most mysterious
mystifying	most mystifying
mythological	most mythological
nagging	most nagging
nailbiting	most nailbiting
named	most named
naming	most naming
narrowminded	most narrowminded
national	most national
nationalized	most nationalized
natural	most natural
naturalized	most naturalized
nauseating	most nauseating
nebulous	most nebulous
needed	most needed
negative	most negative
neglected	most neglected
negligible	most negligible
negotiated	most negotiated
negotiating	most negotiating
neighboring	most neighboring
neoclassical	most neoclassical
nerveless	most nerveless
nervewracking	most nervewracking
nervous	most nervous
nested	most nested
nesting	most nesting
netting	most netting
networked	most networked
neurotic	most neurotic
neutered	most neutered
neutral	most neutral
niggling	most niggling
nocturnal	most nocturnal
nodding	most nodding
noiseless	most noiseless
nominated	most nominated
nonchalant	most nonchalant
nonconforming	most nonconforming
nondescript	most nondescript
nonviolent	most nonviolent
normal	most normal
normalized	most normalized
normalizing	most normalizing
nostalgic	most nostalgic
notable	most notable
noticeable	most noticeable
nourishing	most nourishing
noxious	most noxious
nuanced	most nuanced
nucleated	most nucleated
numbered	most numbered
numbing	most numbing
numerate	most numerate
nursing	most nursing
nurtured	most nurtured
nurturing	most nurturing
nutritious	most nutritious
nuts	most nuts
obedient	most obedient
obese	most obese
obeyed	most obeyed
objective	most objective
obligated	most obligated
obligatory	most obligatory
obliging	most obliging
oblique	most oblique
oblivious	most oblivious
oblong	most oblong
obnoxious	most obnoxious
obscene	most obscene
obsequious	most obsequious
observant	most observant
observing	most observing
obsessed	most obsessed
obsolete	most obsolete
obstinate	most obstinate
obtuse	most obtuse
obvious	most obvious
occupied	most occupied
occupying	most occupying
oceangoing	most oceangoing
odious	most odious
offended	most offended
offending	most offending
offensive	most offensive
offered	most offered
official	most official
oiled	most oiled
ominous	most ominous
omnivorous	most omnivorous
oncoming	most oncoming
onesided	most onesided
onstage	most onstage
opaque	most opaque
opened	most opened
opening	most opening
operated	most operated
operating	most operating
opinionated	most opinionated
opposed	most opposed
opposing	most opposing
oppressed	most oppressed
oppressing	most oppressing
oppressive	most oppressive
optimistic	most optimistic
optimized	most optimized
optional	most optional
orange	most orange
orbiting	most orbiting
orchestrated	most orchestrated
ordained	most ordained
ordered	most ordered
ordering	most ordering
orderly	most orderly
organic	most organic
organised	most organised
organized	most organized
organizing	most organizing
oriented	most oriented
orienteering	most orienteering
original	most original
ornamented	most ornamented
ornate	most ornate
orphaned	most orphaned
oscillating	most oscillating
ostentatious	most ostentatious
outcast	most outcast
outdated	most outdated
outgoing	most outgoing
outlawed	most outlawed
outlying	most outlying
outmoded	most outmoded
outraged	most outraged
outsourced	most outsourced
outsourcing	most outsourcing
outspoken	most outspoken
overachieving	most overachieving
overarching	most overarching
overbearing	most overbearing
overburdened	most overburdened
overcrowded	most overcrowded
overdue	most overdue
overexposed	most overexposed
overextended	most overextended
overflowing	most overflowing
overhanging	most overhanging
overheated	most overheated
overheating	most overheating
overloaded	most overloaded
overlooked	most overlooked
overlooking	most overlooking
overplayed	most overplayed
overpopulated	most overpopulated
overpowering	most overpowering
overpriced	most overpriced
overreaching	most overreaching
overseas	most overseas
oversimplified	most oversimplified
oversized	most oversized
overstretched	most overstretched
overstuffed	most overstuffed
overt	most overt
overtaking	most overtaking
overturned	most overturned
overused	most overused
overweening	most overweening
overwhelmed	most overwhelmed
overwhelming	most overwhelming
overworked	most overworked
owed	most owed
owing	most owing
owned	most owned
owning	most owning
oxidizing	most oxidizing
packaged	most packaged
packaging	most packaging
packed	most packed
packing	most packing
padded	most padded
padding	most padding
paddling	most paddling
paging	most paging
paid	most paid
pained	most pained
painless	most painless
painstaking	most painstaking
painted	most painted
painting	most painting
pallid	most pallid
palpable	most palpable
palpitating	most palpitating
pampered	most pampered
pampering	most pampering
pandering	most pandering
paneled	most paneled
panicked	most panicked
paralyzed	most paralyzed
paralyzing	most paralyzing
parameterized	most parameterized
paranoid	most paranoid
parasitic	most parasitic
parasitized	most parasitized
parched	most parched
parenting	most parenting
parked	most parked
parking	most parking
parsing	most parsing
participating	most participating
partisan	most partisan
partitioning	most partitioning
partnering	most partnering
partying	most partying
passed	most passed
passing	most passing
passionate	most passionate
passionless	most passionless
passive	most passive
pastured	most pastured
patched	most patched
patented	most patented
patenting	most patenting
pathetic	most pathetic
patriotic	most patriotic
patrolled	most patrolled
patterned	most patterned
paved	most paved
paying	most paying
peaked	most peaked
peculiar	most peculiar
pedestrian	most pedestrian
pedigreed	most pedigreed
peering	most peering
peevish	most peevish
penalizing	most penalizing
penetrating	most penetrating
penned	most penned
peppered	most peppered
perceived	most perceived
perceptible	most perceptible
perceptive	most perceptive
percussive	most percussive
perennial	most perennial
perfected	most perfected
perforated	most perforated
performed	most performed
performing	most performing
perfumed	most perfumed
perilous	most perilous
periodic	most periodic
peripheral	most peripheral
perishable	most perishable
permanent	most permanent
permeable	most permeable
permitting	most permitting
pernicious	most pernicious
perpendicular	most perpendicular
perpetrated	most perpetrated
perpetuated	most perpetuated
perplexed	most perplexed
perplexing	most perplexing
persecuted	most persecuted
persecuting	most persecuting
persevering	most persevering
persistent	most persistent
personal	most personal
personalized	most personalized
personified	most personified
persuading	most persuading
persuasive	most persuasive
pertinacious	most pertinacious
pervading	most pervading
pervasive	most pervasive
perverted	most perverted
petite	most petite
petrified	most petrified
petted	most petted
philosophical	most philosophical
photocopied	most photocopied
photogenic	most photogenic
photographed	most photographed
physical	most physical
picked	most picked
picking	most picking
pickled	most pickled
pierced	most pierced
piercing	most piercing
pigheaded	most pigheaded
pigmented	most pigmented
pimped	most pimped
pimping	most pimping
pioneering	most pioneering
pious	most pious
piquant	most piquant
pissed	most pissed
pitched	most pitched
pitching	most pitching
pitied	most pitied
pitiless	most pitiless
placid	most placid
plaintive	most plaintive
planing	most planing
planned	most planned
planning	most planning
planted	most planted
planting	most planting
plastic	most plastic
plated	most plated
platonic	most platonic
playable	most playable
played	most played
playful	most playful
playing	most playing
pleading	most pleading
pleased	most pleased
pleasing	most pleasing
pleasurable	most pleasurable
plebeian	most plebeian
plentiful	most plentiful
pliable	most pliable
pliant	most pliant
plodding	most plodding
plotting	most plotting
plugged	most plugged
plumbing	most plumbing
plundered	most plundered
plunging	most plunging
poaching	most poaching
pockmarked	most pockmarked
poetic	most poetic
poetical	most poetical
poignant	most poignant
pointed	pointiest
pointing	most pointing
pointless	most pointless
poised	most poised
smarmy	smarmiest
poisoned	most poisoned
poisoning	most poisoning
poisonous	most poisonous
polarized	most polarized
polarizing	most polarizing
policing	most policing
policymaking	most policymaking
polished	most polished
polishing	most polishing
political	most political
politicized	most politicized
polling	most polling
polluted	most polluted
polluting	most polluting
ponderous	most ponderous
popped	most popped
popping	most popping
popular	most popular
popularized	most popularized
populated	most populated
populous	most populous
pornographic	most pornographic
porous	most porous
portable	most portable
portentous	most portentous
posed	most posed
posing	most posing
positioning	most positioning
positive	most positive
possessed	most possessed
posted	most posted
posting	most posting
postulated	most postulated
potent	most potent
potholed	most potholed
potted	most potted
pounding	most pounding
poured	most poured
powdered	most powdered
powered	most powered
powerful	most powerful
powerless	most powerless
practical	most practical
practiced	most practiced
practicing	most practicing
pragmatic	most pragmatic
praying	most praying
preached	most preached
preaching	most preaching
precious	most precious
preconceived	most preconceived
predatory	most predatory
predefined	most predefined
predictable	most predictable
predicted	most predicted
predicting	most predicting
predisposing	most predisposing
preening	most preening
prefabricated	most prefabricated
preferred	most preferred
pregnant	most pregnant
prejudiced	most prejudiced
premeditated	most premeditated
prepared	most prepared
preparing	most preparing
prescient	most prescient
prescribed	most prescribed
prescribing	most prescribing
prescriptive	most prescriptive
presentable	most presentable
presented	most presented
presenting	most presenting
preserved	most preserved
presidential	most presidential
presiding	most presiding
pressed	most pressed
pressing	most pressing
pressurised	most pressurised
pressurized	most pressurized
prestigious	most prestigious
pretentious	most pretentious
priceless	most priceless
pricey	most pricey
primary	most primary
primed	most primed
priming	most priming
primitive	most primitive
principled	most principled
printed	most printed
printing	most printing
prismatic	most prismatic
pristine	most pristine
privileged	most privileged
prized	most prized
probing	most probing
processed	most processed
processing	most processing
proclaimed	most proclaimed
prodigal	most prodigal
prodigious	most prodigious
produced	most produced
producing	most producing
productive	most productive
profane	most profane
professed	most professed
professional	most professional
profitable	most profitable
profiting	most profiting
programmed	most programmed
programming	most programming
progressing	most progressing
progressive	most progressive
prohibited	most prohibited
projected	most projected
projecting	most projecting
prolife	most prolife
proliferating	most proliferating
prolific	most prolific
prolonged	most prolonged
promiscuous	most promiscuous
promising	most promising
promoted	most promoted
promoting	most promoting
pronounced	most pronounced
propagated	most propagated
prophesied	most prophesied
proposed	most proposed
proprietary	most proprietary
proscribed	most proscribed
prosecuted	most prosecuted
proselytizing	most proselytizing
prospecting	most prospecting
protected	most protected
protecting	most protecting
protective	most protective
protesting	most protesting
prototyping	most prototyping
protracted	most protracted
protruding	most protruding
proved	most proved
proven	most proven
providing	most providing
provocative	most provocative
provoked	most provoked
provoking	most provoking
prudent	most prudent
pruned	most pruned
pruning	most pruning
public	most public
published	most published
publishing	most publishing
puffed	most puffed
pugnacious	most pugnacious
pulled	most pulled
pulling	most pulling
pulsating	most pulsating
pulsed	most pulsed
pulverizing	most pulverizing
pummeling	most pummeling
pumped	most pumped
pumping	most pumping
punching	most punching
punctual	most punctual
pungent	most pungent
punished	most punished
punishing	most punishing
punting	most punting
purchased	most purchased
purchasing	most purchasing
purebred	most purebred
purged	most purged
purified	most purified
purifying	most purifying
purposeful	most purposeful
purposeless	most purposeless
pursued	most pursued
pursuing	most pursuing
pushed	most pushed
pushing	most pushing
putting	most putting
puzzled	most puzzled
puzzling	most puzzling
qualified	most qualified
qualifying	most qualifying
quantitative	most quantitative
quarrelsome	most quarrelsome
queried	most queried
questing	most questing
questionable	most questionable
questioning	most questioning
queuing	most queuing
quickened	most quickened
quickening	most quickening
quoted	most quoted
racing	most racing
radiant	most radiant
radiated	most radiated
radiating	most radiating
radical	most radical
raging	most raging
raiding	most raiding
raised	most raised
rambling	most rambling
rambunctious	most rambunctious
ranching	most ranching
random	most random
randomized	most randomized
ranked	most ranked
ranking	most ranking
ranting	most ranting
rapacious	most rapacious
raped	most raped
rarified	most rarified
rated	most rated
ratified	most ratified
rating	most rating
rational	most rational
rattled	most rattled
rattling	most rattling
raucous	most raucous
ravaged	most ravaged
ravaging	most ravaging
ravenous	most ravenous
raving	most raving
ravishing	most ravishing
reached	most reached
reacting	most reacting
read	most read
readable	most readable
reading	most reading
realistic	most realistic
realized	most realized
reasoned	most reasoned
reasoning	most reasoning
reassuring	most reassuring
rebellious	most rebellious
rebuilding	most rebuilding
recalled	most recalled
received	most received
receiving	most receiving
receptive	most receptive
recessed	most recessed
recited	most recited
reckless	most reckless
reckoning	most reckoning
reclaimed	most reclaimed
reclusive	most reclusive
recognisable	most recognisable
recognised	most recognised
recognizable	most recognizable
recognized	most recognized
recommended	most recommended
recommending	most recommending
reconstructed	most reconstructed
recorded	most recorded
recording	most recording
recovered	most recovered
recovering	most recovering
recruited	most recruited
recruiting	most recruiting
rectangular	most rectangular
recurring	most recurring
recycled	most recycled
recycling	most recycling
reddened	most reddened
reddish	most reddish
redeemed	most redeemed
refereed	most refereed
referenced	most referenced
refinancing	most refinancing
refined	most refined
reflected	most reflected
reflecting	most reflecting
reflective	most reflective
reflexive	most reflexive
reformed	most reformed
reforming	most reforming
refracted	most refracted
refreshed	most refreshed
refreshing	most refreshing
refrigerated	most refrigerated
refueling	most refueling
refurbished	most refurbished
refused	most refused
refuted	most refuted
regal	most regal
regenerating	most regenerating
regimented	most regimented
registered	most registered
registering	most registering
regressive	most regressive
regular	most regular
regulated	most regulated
regulating	most regulating
rehabilitated	most rehabilitated
rehearsed	most rehearsed
reigning	most reigning
reinforced	most reinforced
reinforcing	most reinforcing
rejected	most rejected
rejoicing	most rejoicing
rejuvenating	most rejuvenating
relapsed	most relapsed
relapsing	most relapsing
relaxed	most relaxed
relaxing	most relaxing
released	most released
releasing	most releasing
relentless	most relentless
reliable	most reliable
reliant	most reliant
relieved	most relieved
relieving	most relieving
religious	most religious
relocated	most relocated
remembered	most remembered
remixed	most remixed
remodeled	most remodeled
remodeling	most remodeling
remorseless	most remorseless
removable	most removable
rendered	most rendered
rending	most rending
renewed	most renewed
renovated	most renovated
renowned	most renowned
rented	most rented
repaired	most repaired
repeated	most repeated
repeating	most repeating
repetitive	most repetitive
replaceable	most replaceable
reported	most reported
reporting	most reporting
representative	most representative
representing	most representing
repressed	most repressed
reprinted	most reprinted
reproduced	most reproduced
reproducing	most reproducing
reptilian	most reptilian
repulsive	most repulsive
reputable	most reputable
reputed	most reputed
requested	most requested
requesting	most requesting
required	most required
rescued	most rescued
researched	most researched
reserved	most reserved
residential	most residential
resilient	most resilient
resisted	most resisted
resisting	most resisting
resolute	most resolute
resolved	most resolved
resonant	most resonant
resonating	most resonating
resounding	most resounding
respectable	most respectable
respected	most respected
respectful	most respectful
responding	most responding
responsible	most responsible
responsive	most responsive
rested	most rested
restful	most restful
resting	most resting
restless	most restless
restored	most restored
restrained	most restrained
restraining	most restraining
restricted	most restricted
restricting	most restricting
restrictive	most restrictive
restructured	most restructured
retailing	most retailing
retained	most retained
retaining	most retaining
retarded	most retarded
retentive	most retentive
reticent	most reticent
retired	most retired
retrieved	most retrieved
retrograde	most retrograde
returning	most returning
revealed	most revealed
revealing	most revealing
revelatory	most revelatory
reveling	most reveling
reverberating	most reverberating
revered	most revered
reverenced	most reverenced
reverent	most reverent
reversed	most reversed
reviewed	most reviewed
reviewing	most reviewing
reviled	most reviled
revised	most revised
revitalized	most revitalized
revitalizing	most revitalizing
revived	most revived
reviving	most reviving
revolting	most revolting
revolving	most revolving
revved	most revved
rewarded	most rewarded
rewarding	most rewarding
rhyming	most rhyming
rhythmic	most rhythmic
ridden	most ridden
riddled	most riddled
ridged	most ridged
ridiculous	most ridiculous
riding	most riding
rigged	most rigged
rigging	most rigging
righteous	most righteous
rigid	most rigid
rigorous	most rigorous
ringed	most ringed
ringing	most ringing
ripened	most ripened
ripped	most ripped
ripping	most ripping
rising	most rising
ritualistic	most ritualistic
ritualized	most ritualized
riveted	most riveted
riveting	most riveting
roaming	most roaming
roasted	most roasted
roasting	most roasting
rocked	most rocked
rocking	most rocking
rolled	most rolled
rollicking	most rollicking
rolling	most rolling
romantic	most romantic
romanticized	most romanticized
rooted	most rooted
rooting	most rooting
rotating	most rotating
rounded	most rounded
roused	most roused
rousing	most rousing
routed	most routed
routine	most routine
routing	most routing
rowing	most rowing
royal	most royal
rubbery	most rubbery
rubbing	most rubbing
rudimentary	most rudimentary
ruffled	most ruffled
ruggedized	most ruggedized
ruined	most ruined
ruinous	most ruinous
ruled	most ruled
ruling	most ruling
rumbling	most rumbling
rumpled	most rumpled
running	most running
rural	most rural
rushing	most rushing
rusted	most rusted
rustic	most rustic
ruthless	most ruthless
rutted	most rutted
rutting	most rutting
sacked	most sacked
sacred	most sacred
sacrificed	most sacrificed
sacrificing	most sacrificing
saddening	most saddening
safeguarded	most safeguarded
sagacious	most sagacious
sailing	most sailing
salaried	most salaried
salient	most salient
salted	most salted
salvaged	most salvaged
sampling	most sampling
sanctified	most sanctified
sanctioned	most sanctioned
sanctioning	most sanctioning
sanding	most sanding
sanitary	most sanitary
sanitized	most sanitized
satisfied	most satisfied
satisfying	most satisfying
saturated	most saturated
saved	most saved
saving	most saving
savored	most savored
savory	most savory
sawing	most sawing
scalable	most scalable
scalding	most scalding
scaled	most scaled
scaling	most scaling
scandalous	most scandalous
scanned	most scanned
scanning	most scanning
scared	most scared
scarlet	most scarlet
scarred	most scarred
scarring	most scarring
scathing	most scathing
scattered	most scattered
scattering	most scattering
scented	most scented
scheduled	most scheduled
scheduling	most scheduling
schematic	most schematic
scheming	most scheming
scholarly	most scholarly
schooling	most schooling
scientific	most scientific
scintillating	most scintillating
scoffed	most scoffed
scorching	most scorching
scored	most scored
scoring	most scoring
scorned	most scorned
scourged	most scourged
scouting	most scouting
scrambled	most scrambled
scrambling	most scrambling
scratched	most scratched
scratching	most scratching
screamed	most screamed
screaming	most screaming
screened	most screened
screening	most screening
screwed	most screwed
scripted	most scripted
scripting	most scripting
scrolling	most scrolling
sculpted	most sculpted
sculpting	most sculpting
seafaring	most seafaring
seagoing	most seagoing
sealed	most sealed
sealing	most sealing
seamless	most seamless
searching	most searching
searing	most searing
seasoned	most seasoned
seaworthy	most seaworthy
secluded	most secluded
secondary	most secondary
secreted	most secreted
secretive	most secretive
secular	most secular
secured	most secured
securing	most securing
sedate	most sedate
sedentary	most sedentary
seducing	most seducing
seductive	most seductive
seeded	most seeded
seeking	most seeking
seething	most seething
segmented	most segmented
segregated	most segregated
segregating	most segregating
seized	most seized
selected	most selected
selecting	most selecting
selective	most selective
selfish	most selfish
selfless	most selfless
selling	most selling
senior	most senior
sensational	most sensational
sensationalized	most sensationalized
sensing	most sensing
sensitive	most sensitive
sensitized	most sensitized
sensual	most sensual
sensuous	most sensuous
sentenced	most sentenced
sentencing	most sentencing
sentimental	most sentimental
separated	most separated
separating	most separating
sequenced	most sequenced
sequestered	most sequestered
sequined	most sequined
serialized	most serialized
serious	most serious
serrated	most serrated
served	most served
serviceable	most serviceable
serving	most serving
set	most set
setting	most setting
settled	most settled
settling	most settling
severed	most severed
sewing	most sewing
sexless	most sexless
sexual	most sexual
shaded	most shaded
shading	most shading
shadowed	most shadowed
shaken	most shaken
shaking	most shaking
shamed	most shamed
shaming	most shaming
shapeless	most shapeless
shaping	most shaping
shared	most shared
sharing	most sharing
shattered	most shattered
shattering	most shattering
shaved	most shaved
shaving	most shaving
shed	most shed
shedding	most shedding
shelled	most shelled
sheltered	most sheltered
shelving	most shelving
shielding	most shielding
shifted	most shifted
shifting	most shifting
shimmering	most shimmering
shining	most shining
shinning	most shinning
shipping	most shipping
shivering	most shivering
shocked	most shocked
shocking	most shocking
shooting	most shooting
shopping	most shopping
shortlived	most shortlived
shot	most shot
shouted	most shouted
shouting	most shouting
shredded	most shredded
shredding	most shredding
shrinking	most shrinking
shriveled	most shriveled
shrivelled	most shrivelled
shrouded	most shrouded
shrunken	most shrunken
shuffling	most shuffling
shunned	most shunned
shuttered	most shuttered
sickening	most sickening
sidesplitting	most sidesplitting
sightseeing	most sightseeing
signaling	most signaling
signalling	most signalling
signed	most signed
significant	most significant
signing	most signing
silenced	most silenced
silent	most silent
silver	most silver
simpering	most simpering
simplified	most simplified
simulated	most simulated
simulating	most simulating
sinewy	most sinewy
singing	most singing
singular	most singular
sinister	most sinister
sinking	most sinking
sinuous	most sinuous
sitting	most sitting
sizzling	most sizzling
skateboarding	most skateboarding
skating	most skating
skeptical	most skeptical
skewed	most skewed
skiing	most skiing
skilled	most skilled
skillful	most skillful
skimming	most skimming
skinning	most skinning
skipped	most skipped
skipping	most skipping
skittish	most skittish
slammed	most slammed
slamming	most slamming
slanted	most slanted
slashing	most slashing
slated	most slated
slaughtered	most slaughtered
slaughtering	most slaughtering
sleeping	most sleeping
slicing	most slicing
sliding	most sliding
slimming	most slimming
slipped	most slipped
sloped	most sloped
sloping	most sloping
sluggish	most sluggish
slumbering	most slumbering
smashed	most smashed
smashing	most smashing
smiling	most smiling
smoked	most smoked
smoking	most smoking
smoldering	most smoldering
smoothed	most smoothed
smoothing	most smoothing
smothered	most smothered
smouldering	most smouldering
smuggled	most smuggled
smuggling	most smuggling
snapped	most snapped
snappish	most snappish
snarling	most snarling
sneaking	most sneaking
sneering	most sneering
sniping	most sniping
sniveling	most sniveling
snoring	most snoring
soaked	most soaked
soaring	most soaring
sobering	most sobering
sociable	most sociable
social	most social
socializing	most socializing
sodden	most sodden
soiled	most soiled
soldering	most soldering
solicited	most solicited
solicitous	most solicitous
solidified	most solidified
solitary	most solitary
solved	most solved
somber	most somber
sombre	most sombre
songful	most songful
songwriting	most songwriting
sonorous	most sonorous
soothing	most soothing
sophisticated	most sophisticated
soporific	most soporific
sorrowful	most sorrowful
sorted	most sorted
sorting	most sorting
soulful	most soulful
soulless	most soulless
spacious	most spacious
spamming	most spamming
sparing	most sparing
sparked	most sparked
sparkling	most sparkling
spartan	most spartan
spawning	most spawning
speaking	most speaking
specialized	most specialized
specializing	most specializing
specific	most specific
specified	most specified
spectacular	most spectacular
speeding	most speeding
spellbinding	most spellbinding
spelling	most spelling
spending	most spending
spent	most spent
spherical	most spherical
spiced	most spiced
spiked	most spiked
spineless	most spineless
spinning	most spinning
spirited	most spirited
spiritual	most spiritual
splintered	most splintered
splitting	most splitting
spoiled	most spoiled
sponsored	most sponsored
sponsoring	most sponsoring
spontaneous	most spontaneous
spoofing	most spoofing
spooked	most spooked
sporadic	most sporadic
spotless	most spotless
spotted	most spotted
sprawling	most sprawling
sprayed	most sprayed
spraying	most spraying
spread	most spread
spreading	most spreading
spruce	most spruce
spun	most spun
spurned	most spurned
squat	most squat
squeezable	most squeezable
squeezed	most squeezed
stabile	most stabile
stabilizing	most stabilizing
stacked	most stacked
stacking	most stacking
staged	most staged
staggering	most staggering
staging	most staging
stagnant	most stagnant
stained	most stained
staining	most staining
stalked	most stalked
stalking	most stalking
stamped	most stamped
stamping	most stamping
standardized	most standardized
standing	most standing
starched	most starched
staring	most staring
starring	most starring
starting	most starting
startled	most startled
startling	most startling
starved	most starved
starving	most starving
stated	most stated
static	most static
stationary	most stationary
statuesque	most statuesque
stayed	most stayed
steadfast	most steadfast
stealing	most stealing
steamed	most steamed
