Quality	Count	When Property of A	When Property of B
mouthy	4	underestimate, threaten, argue_with, bully, pick_on,  criticize, preach_to	are_taunted_by, are_mocked_by, are_underestimated_by, stand_up_to, are_rebuffed_by, argue_with, are_pushed_too_far_by, are_offended_by, turn_against
twee	4	are_overshadowed_by, embarrass	overshadow, tower_over, are_embarrassed_by
absurd	4	embarrass, are_scolded_by, are_chastised_by, fail_to_impress	are_embarrassed_by, scold, chastise
subversive	4	undermine, resist, rebel_against, spread_lies_about, misrepresent, brief_against	are_undermined_by, are_resisted_by, are_misrepresented_by
bipolar	4	are_diagnosed_by, are_treated_by	treat, diagnose
sociopathic	4	stalk, lie_to, intimidate, disfigure, devour	fear, are_intimidated_by, are_bitten_by, are_threatened_by, intimidate_with, are_disfigured_by
overambitious	4	supplant, betray, upstage, compete_with, topple	are_upstaged_by, are_supplanted_by, are_betrayed_by, are_toppled_by
short-tempered	4	attack, assault, are_frustrated_by	are_bitten_by, are_savaged_by, are_attacked_by
dull	4	fail_to_impress, fail_to_deliver_for,  disappoint	are_bored_by, are_bored_with, joke_about, tune_out
prejudiced	4	resent, spread_lies_about, brief_against, misrepresent	are_undermined_by, are_misrepresented_by
steadfast	4	impress, are_underestimated_by, overcome, rebuff	are_impressed_by, underestimate, are_rebuffed_by
faithful	4	show_loyalty_to, support, identify_with,  campaign_for, defend, follow, obey, die_for, believe_in, love	cheat_on, marry
troubled	4	are_concerned_about, confide_in, seek_advice_from, are_pitied_by	sympathize_with, are_moved_by
fickle	4	lose_interest_in, lose_faith_in, cheat_on	are_frustrated_by, are_driven_mad_by, are_dumped_by
gloomy	4	are_concerned_about, confide_in, seek_advice_from, grow_suspicious_of, mourn_for	sympathize_with, are_moved_by, tune_out
introverted	4	hide_from, avoid, elude, pine_for, run_away_from, are_forgotten_by, are_overshadowed_by	are_eluded_by, overshadow
stoic	4	overcome, resist, settle_with	admire
streetwise	4	take_advantage_of, bribe, pay_off	seek_advice_from
merciless	4	kill, banish, execute, imprison, incarcerate, punish	are_imprisoned_by, are_incarcerated_by
unstable	4	are_toppled_by	topple, overthrow
dispassionate	4	evaluate, investigate, study, write_about, review	are_evaluated_by, are_investigated_by, are_studied_by, are_probed_by, are_reviewed_by
burnt-out	4	fail_to_deliver_for, disappoint	are_disappointed_by, lose_faith_in
repetitive	4	are_brainwashed_by	are_bored_by, are_bored_with, joke_about, tune_out, are_driven_mad_by
elitist	4	condescend_to, preach_to, scold, chastise, are_unimpressed_with, are_unimpressed_by, favor, commission	curry_favor_with, kiss_up_to, lick_up_to, suck_up_to, are_favored_by
dapper	4	charm, pose_for	style_for, enhance, beautify, impersonate, copy, imitate, are_charmed_by
funky	4	chat_with, agree_with, charm, share_stories_with,entertain	play_with, are_entertained_by
mysticism-peddling	4	are_worshipped_by, inspire, counsel, advise, preach_to	lose_faith_in, are_inspired_by, follow, seek_advice_from, believe_in, listen_to
schizophrenic	4	are_diagnosed_by, are_treated_by	treat, diagnose
mysterious	4	mystify, are_investigated_by, are_probed_by, study	are_intrigued_by, are_mystified_by, probe, investigate
widely-read	4	are_studied_by	study_under, read_the_works_of
disgusting	4	disgust, alienate	are_disgusted_by, are_shocked_by, flee_from
traitorous	4	betray, turn_against, blackmail, brief_against	are_betrayed_by, are_blackmailed_by
malicious	4	hate, resent, undermine, conspire_with, defraud, disillusion, torture, enslave, subjugate, are_toppled_by, are_resisted_by, are_despised_by	are_conquered_by, are_persecuted_by, are_tortured_by, are_mistreated_by, overthrow, grow_suspicious_of, are_disfigured_by, are_cursed_by, hide_from, fight_against, are_savaged_by, rebel_against, rise_against, are_brainwashed_by
fatherly	4	nurture, lecture_to, preach_to, watch_over	are_raised_by, confide_in, confess_to
loveable	4	are_loved_by, 	love, admire, fall_in_love_with
bumbling	4	fail_to_impress, fail_to_deliver_for, are_refused_payment_by, disappoint, are_dismissed_by, are_fired_by	are_unimpressed_with, lose_faith_in, fire, refuse_to_pay, lose_faith_in, are_disappointed_by
meat-headed	4	copy, imitate, mimic, fail_to_impress, fail_to_deliver_for,  disappoint, are_fooled_by, are_tricked_by	are_bored_by, are_bored_with, joke_about, tune_out, are_unimpressed_with, are_copied_by, are_imitated_by, are_embarrassed_by, exploit, take_advantage_of, manipulate, trick, fool
grating	4	preach_to, lecture_to	are_driven_mad_by, are_frustrated_by, tune_out, lose_interest_in, are_bored_by
hot-tempered	4	attack, assault, are_frustrated_by	are_bitten_by, are_savaged_by, are_attacked_by
impassioned	4	argue_with, debate_with	argue_with, debate_with
disillusioned	4	are_disillusioned_by, lose_faith_in, are_disappointed_by	love_favor_with, disillusion, disappoint
sneaky	4	betray, spread_lies_about, exploit, manipulate, cheat, brief_against, lie_to, take_advantage_of, lay_a_trap_for, spy_on, snitch_to, leak_to	are_betrayed_by, are_exploited_by, are_manipulated_by, are_cheated_by, are_pushed_too_far_by
multi-talented	4	impress, are_underestimated_by, overcome, work_for, are_hired_by, are_recruited_by, upstage, are_chosen_by, are_copied_by, are_imitated_by	are_impressed_by, underestimate, hire, recruit, are_upstaged_by, look_up_to, imitate, copy, mimic, sign_up, recruit
deranged	4	are_radicalized_by, are_indoctrinated_by	are_sickened_by, brainwash, indoctrinate
electrifying	4	encourage, attract, inspire	are_encouraged_by, are_energized_by, are_inspired_by, are_shocked_by
clumsy	4	fail_to_impress, fail_to_deliver_for,  disappoint	are_unimpressed_with, lose_faith_in, fire, refuse_to_pay, lose_faith_in, are_disappointed_by
original	4	inspire	are_inspired_by, are_encouraged_by
sentimental	4	pine_for, stalk, cry_for, remember	are_stalked_by, are_driven_mad_by, are_remembered_by
decisive	4	chose, pick, nominate	are_chosen_by, are_nominated_by
volatile	4	attack, resent, assault, savage	are_attacked_by, are_savaged_by
psychotic	4	stalk, prey_on, kill, murder, disfigure	are_driven_mad_by, are_stalked_by
dogged	4	impress, are_underestimated_by, overcome, rebuff	are_impressed_by, underestimate, are_rebuffed_by
philanthropic	4	are_begged_by, finance, fund, invest_in	obtain_sympathy_from, seek_sympathy_from, are_funded_by
diplomatic	4	compliment, flatter, charm	are_complimented_by, are_flattered_by, are_charmed_by
bitchy	4	offend, mock, taunt, insult, harass, lose_favor_with	are_offended_by, are_insulted_by, are_disrespected_by, are_scolded_by, are_pushed_too_far_by
gaffe-prone	4	fail_to_deliver_for, disappoint	are_disappointed_by, lose_faith_in
thieving	4	steal_from, rob, defraud	are_robbed_by, are_defrauded_by
quick-tempered	4	attack, assault, are_frustrated_by	are_attacked_by, are_savaged_by
feisty	4	stand_up_to, resist, challenge, campaign_against, defend	are_defended_by, are_resisted_by, are_challenged_by, are_resisted_by
enduring	4	overcome, resist, struggle_with, struggle_against, stand_up_to, overcome	are_resisted_by, are_challenged_by
lying	4	lie_to, deceive, spread_lies_about, trick, betray, misrepresent, lie_for	are_deceived_by, are_tricked_by, are_betrayed_by, are_failed_by, are_misrepresented_by
high-pitched	4	sing_with, are_underestimated_by	laugh_at, mock, underestimate
pragmatic	4	settle_with, negotiate_with, surrender_to, let_go_of	settle_with
sultry	4	seduce, flirt_with, entice	are_seduced_by, sleep_with
hyper-active	4	energize, rouse	are_driven_mad_by, are_frustrated_by, tune_out, are_energized_by, are_roused_by
insincere	4	lie_to, deceive, spread_lies_about, trick, betray, misrepresent, lie_for	are_deceived_by, are_tricked_by, are_betrayed_by, are_failed_by, are_misrepresented_by
self-destructive	4	alienate, are_pitied_by	destroy, pity
debauched	4	sleep_with, are_spoiled_by, molest, seduce, cheat_with, are_waited_upon_by	pander_to, spoil, cook_for, are_sickened_by, cater_to, pamper
drunken	4	drink_with, insult, confess_to, confide_in	drink_with
mad	4	are_driven_mad_by	diagnose, treat, cure
accurate	4	evaluate, review, diagnose	are_evaluated_by, are_diagnosed_by
suicidal	4	are_driven_mad_by, are_monitored_bt	diagnose, treat, cure, care_for, watch_over, monitor
prurient	4	spread_lies_about, joke_about	are_shocked_by, are_disgusted_by
slutty	4	seduce, flirt_with, entice, sleep_with	sleep_with, are_shocked_by, are_disgusted_by
articulate	4	speak_for, propagandize_for, persuade, debate_with	speak_through, communicate_via, are_persuaded_by
independent	4	cast_off, let_go_of, rebuff, spurn	let_go_of, are_rebuffed_by, are_spurned_by
despotic	4	rule_over, dominate, coerce, command, subjugate, appoint, enslave, rule, silence, imprison, incarcerate, subjugate	assassinate, blow_up, bow_down_to, kill_for, are_enslaved_by, are_banished_by, stand_up_to, overthrow, rise_against, are_detained_by, are_incarcerated_by, are_suppressed_by, rise_against, are_toppled_by, are_overthrown_by
unfeminine	4	disgust, alienate	are_disgusted_by, are_shocked_by, flee_from
ingratiating	4	flatter, suck_up_to, lick_up_to, kiss_up_to, compliment	are_flattered_by, are_complimented_by
understanding	4	are_moved_by, forgive, sympathize_with	are_forgiven_by, obtain_sympathy_from, appeal_to
mumbling	4	are_impersonated_by	impersonate
record-breaking	4	defeat, overshadow, supplant	are_overshadowed_by, are_defeated_by, are_supplanted_by
high-scoring	4	defeat, overshadow, supplant	are_overshadowed_by, are_defeated_by, are_supplanted_by
well-dressed	4	impress, charm, attract	are_impressed_by, are_charmed_by, are_attracted_by
undemocratic	4	rule_over, dominate, coerce, command, subjugate, enslave, rule, silence, imprison, incarcerate, subjugate	assassinate, blow_up, bow_down_to, kill_for, are_enslaved_by, are_banished_by, stand_up_to, overthrow, rise_against, are_detained_by, are_incarcerated_by, are_suppressed_by, rise_against, are_toppled_by, are_overthrown_by
well-meaning	4	are_appreciated_by, are_thanked_by	are_moved_by, appreciate, thank
caustic	4	insult, offend, humiliate, taunt, mock, joke_about, laugh_at	are_insulted_by, are_mocked_by, are_taunted_by, are_offended_by, are_humiliated_by
flirtatious	4	flirt_with, seduce	are_seduced_by, sleep_with
perfectionist	4	condescend_to, are_frustrated_by, are_disappointed_by	fail_to_impress, fail_to_deliver_for
smooth	4	charm, entice, persuade, lie_to, lie_for	are_charmed_by, are_persuaded_by
cloying	4	disgust	are_sickened_by
ragged	4	seek_sympathy_from	are_begged_by,
high-handed	4	are_toppled_by, underestimate, threaten, argue_with, bully, pick_on, condescend_to, fail_to_reward, silence, summon, dismiss	are_taunted_by, are_mocked_by, are_underappreciated_by, stand_up_to, are_rebuffed_by, argue_with, are_pushed_too_far_by, are_offended_by, turn_against, rebel_against, are_dismissed_by, are_rebuffed_by, lose_faith_in, are_censured_by, are_silenced_by
astute	4	exploit, manipulate, cheat, flatter, lie_to, undermine, take_advantage_of, curry_favor_with, lay_a_trap_for	are_exploited_by, are_manipulated_by, are_cheated_by, are_pushed_too_far_by, are_misrepresented_by
messianic	4	preach_to, save, rescue, protect, defend	are_saved_by, are_rescued_by, are_protected_by, are_defended_by, are_shielded_by
hugely-quotable	4	are_impersonated_by, are_copied_by, are_imitated_by, entertain	copy, imitate, mimic, impersonate, are_entertained_by
swaggering	4	humiliate condescend_to, mock, taunt	are_mocked_by, are_taunted_by, are_humiliated_by
self-absorbed	4	ignore, rebuff, are_dumped_by	are_ignored_by, are_rebuffed_by, dump
self-centered	4	ignore, rebuff, are_dumped_by	are_ignored_by, are_rebuffed_by, dump
indomitable	4	overcome, resist, struggle_with, struggle_against, stand_up_to, overcome	are_resisted_by, are_challenged_by
spunky	4	stand_up_to, resist, challenge, campaign_against, defend	are_defended_by, are_resisted_by, are_challenged_by, are_resisted_by
bureaucratic	4	evaluate, review	are_evaluated_by, are_reviewed_by
altruistic	4	feel_sorry_for, save, defend, rescue, protect	are_saved_by, are_rescued_by, are_protected_by, are_defended_by, are_shielded_by
jaded	4	are_driven_mad_by, are_frustrated_by, are_overworked_by, are_underappreciated_by, are_pushed_too_far_by	overwork
defiant	4	stand_up_to, resist, challenge, campaign_against, defend	are_defended_by, are_resisted_by, are_challenged_by, are_resisted_by
terse	3	dismiss, spurn, rebuff	are_dismissed_by, are_spurned_by, are_rebuffed_by
intolerant	3	banish, pick_on, hate, resent, dislike, spread_lies_about	are_banished_by, are_resented_by, are_hated_by
fatalistic	3	die_for	sacrifice
candid	3	offend, confess_to, confide_in, share_stories_with, leak_to, tip_off	are_shocked_by, are_disgusted_by, are_informed_by
mild-mannered	3	are_pushed_too_far_by, are_underestimated_by	exploit, take_advantage_of, taunt, underestimate
analytical	3	evaluate, review, diagnose, investigate, probe	are_evaluated_by, are_investigated_by, are_studied_by, are_probed_by, are_reviewed_by
surly	3	offend, anger, intimidate, threaten	are_offended_by, are_intimidated_by, are_threatened_by 
square-jawed	3	impress, inspire	are_impressed_by, are_inspired_by, look_up_to
derivative	3	copy, imitate, mimic, fail_to_impress, fail_to_deliver_for,  disappoint	are_copied_by, are_imitated_by
narcissistic	3	are_flattered_by, condescend_to, ignore, are_spoiled_by	flatter, are_ignored_by, pander_to, 
manly	3	hunt, intimidate, fight, fight_with, fight_for, stand_up_to	are_hunted_by, are_intimidated_by, are_impressed_by
grizzled	3	teach, mentor, coach	study_under, are_taught_by, are_mentored_by, are_coached_by
wacky	3	entertain, joke_about, trick	are_entertained_by, are_driven_mad_by, are_embarrassed_by, are_tricked_by
authoritarian	3	silence, scold, censure, repress, suppress, imprison, incarcerate, round_up, are_overthrown_by, are_toppled_by	are_silenced_by, are_scolded_by, are_censured_by, are_repressed_by, are_suppressed_by, are_imprisoned_by, are_incarcerated_by, resist, rebel_against, overthrow, topple, 
earnest	3	confess_to, confide_in, propose_to, are_trusted_by	trust, believe_in
slow	3	fail_to_impress, fail_to_deliver_for,  disappoint	are_unimpressed_with, lose_faith_in, fire, refuse_to_pay, lose_faith_in, are_disappointed_by
big-hearted	3	are_moved_by, forgive, sympathize_with	are_begged_by, obtain_sympathy_from, are_forgiven_by
dishevelled	3	fail_to_impress	are_unimpressed_by, are_unimpressed_with, are_begged_by
unorthodox	3	are_underestimated_by	underestimate
iconoclastic	3	shock, rouse, energize, disrespect	are_shocked_by, are_roused_by, are_energized_by, are_disrespected_by
impetuous	3	are_roused_by, follow, fall_in_love_with, propose_to, are_encouraged_by, take_up_with	rouse, are_followed_by
hair-obsessed	3	are_flattered_by	beautify, enhance, flatter, lick_up_to, suck_up_to, kiss_up_to
attention-grabbing	3	impress, rouse, energize	are_impressed_by, are_roused_by, are_energized_by, are_shocked_by
curious	3	investigate, spy_on, listen_to	are_investigated_by, are_probed_by
politically-savvy	3	lead_astray, advise, are_elected_by, corrupt, are_bribed_by, spread_lies_about, lie_for	vote_for, campaign_for, are_led_by, elect, are_corrupted_by, bribe
sappy	3	are_manipulated_by	take_advantage_of, manipulate
unchallenging	3	fail_to_impress, fail_to_deliver_for,  disappoint, are_manipulated_by	are_unimpressed_with, lose_faith_in, fire, refuse_to_pay, lose_faith_in, are_disappointed_by, manipulate, take_advantage_of
dexterous	3	escape_from, elude, impress	are_eluded_by, are_impressed_by
timid	3	are_pushed_too_far_by, are_underestimated_by, are_overlooked_by	exploit, take_advantage_of, taunt, underestimate
over-zealous	3	are_radicalized_by, are_indoctrinated_by, are_brainwashed_by, kill_for, die_for	brainwash, indoctrinate, radicalize
controversial	3	shock, rouse, energize, offend	are_shocked_by, are_roused_by, are_energized_by, are_offended_by
libertarian	3	stand_up_to, resist, challenge, campaign_against, disobey	are_disobeyed_by, are_resisted_by
fiery	3	rouse, radicalize, energize	are_roused_by, are_energized_by, are_radicalized_by, anger
slim	3	attract	flirt_with
tepid	3	are_pushed_too_far_by, are_underestimated_by	exploit, take_advantage_of, taunt, underestimate
self-hating	3	die_for	sacrifice
melodramatic	3	cry_for, pine_for, die_for	are_driven_mad_by, are_frustrated_by, tune_out, are_bored_by
serene	3	influence	
whimsical	3	lose_interest_in, entertain, fail_to_deliver_for, cause_trouble_for	laugh_at, are_surprised_by
conniving	3	manipulate, exploit, take_advantage_of, are_distrusted_by	are_manipulated_by, are_exploited_by, distrust
benevolent	3	are_moved_by, forgive, sympathize_with, lend_to, are_begged_by	beg, borrow_from, appeal_to
foppish	3	condescend_to, ignore, are_spurned_by, are_rebuffed_by	laugh_at, mock, joke_about, distrust, spurn, rebuff
fastidious	3	lecture_to, preach_to	are_chastised_by
thoughtless	3	ignore, rebuff, are_dumped_by	dump, break_with
overly-competitive	5	compete_with, compete_against	compete_with, compete_against
engaging	3	charm, entice, chat_with, share_stories_with	confide_in, chat_with, confess_to
crazy	3	disgust, alienate	are_shocked_by, are_disgusted_by
world-weary	3	fail_to_impress, fail_to_deliver_for,  disappoint, are_corrupted_by	are_underestimated_by, corrupt
over-serious	3	lecture_to, preach_to	are_lectured_by, are_denounced_by, are_chastised_by
spontaneous	3	rouse, energize	are_roused_by, are_energized_by, are_radicalized_by, anger
menacing	3	intimidate, threaten, bully, prey_on, are_feared_by	intimidate_with, threaten_with, are_bullied_by, are_threatened_by, are_intimidated_with, fear
neighborly	3	chat_with, share_stories_with, interact_with	chat_with, share_stories_with, interact_with
masterly	3	impress, inspire	are_impressed_by, are_inspired_by, look_up_to
irreverent	3	shock, disgust	are_shocked_by, are_disgusted_by
facile	3	underestimate, fail_to_impress, are_overlooked_by	are_unimpressed_by, are_unimpressed_with
bourgeois	3	condescend_to, preach_to	laugh_at, mock, joke_about
buffoonish	3	fail_to_impress, fail_to_deliver_for,  disappoint, embarrass	laugh_at, mock, joke_about
laid-back	3	drink_with, charm, are_overlooked_by, chat_with, share_stories_with, interact_with	chat_with, share_stories_with, interact_with
quick-thinking	3	lay_a_tray_for, trick, fool	are_tricked_by, are_lured_by, are_fooled_by
forceful	3	intimidate, threaten, bully, taunt, are_feared_by	are_intimidated_by, are_bullied_by, intimidate_with, are_threatened_by, fear
obscene	3	shock, disgust	are_shocked_by, are_disgusted_by
alluring	3	entice, charm, attract, seduce	are_attracted_by, fall_in_love_with, are_enticed_by, are_charmed_by, are_seduced_by, sleep_with
deadpan	3	joke_about	are_entertained_by
know-it-all	3	lecture_to, educate, teach	are_driven_mad_by, tune_out, are_bored_by, are_bored_with
intriguing	3	mystify, are_probed_by, are_investigated_by	are_intrigued_by, are_mystified_by, probe, investigate
scandalous	3	shock, disgust	are_shocked_by, are_disgusted_by, lose_faith_in, disrespect, turn_against
abusive	3	abuse, hurt, exploit, humiliate	are_abused_by, are_hurt_by, are_exploited_by, are_humiliated_by, flee_from, escape_from, run_away_from, turn_against
obstinate	3	refuse_to_pay, spurn, rebuff, withhold_payment_from	are_rebuffed_by, are_spurned_by, 
ineffectual	3	fail_to_impress, fail_to_deliver_for,  disappoint, embarrass	are_unimpressed_with, lose_faith_in, fire, refuse_to_pay, lose_faith_in, are_disappointed_by
classy	3	impress, charm, attract	look_up_to, are_attracted_by
down-to-earth	3	negotiate_for, negotiate_with, settle_with, drink_with, share_stories_with, chat_with	drink_with, share_stories_with, chat_with
tart	3	offend, insult, taunt, mock, laugh_at, joke_about	are_offended_by, are_insulted_by, are_disrespected_by, are_mocked_by, are_taunted_by
trite	3	frustrate, annoy, are_disliked_by, fail_to_impress	are_bored_by, are_bored_with, joke_about, tune_out, are_driven_mad_by
meretricious	3	condescend_to, preach_to, fail_to_deliver_for	are_unimpressed_by, are_unimpressed_with
diligent	3	sweat_for, labor_for, are_overworked_by, are_underappreciated_by	overwork, appreciate
sensual	3	attract, seduce, flirt_with, entice, sleep_with	fall_in_love_with, are_seduced_by, are_attracted_by
acerbic	3	offend, insult, taunt, mock, laugh_at, joke_about	are_offended_by, are_insulted_by, are_disrespected_by, are_mocked_by, are_taunted_by
curmudgeonly	3	complain_to, criticize, anger, alienate	are_driven_mad_by, are_frustrated_by, tune_out, are_bored_by
prickly	3	complain_to, criticize, anger, alienate	are_driven_mad_by, are_frustrated_by, tune_out, are_bored_by
straightforward	3	advise, counsel, mentor, guide	confer_with, consult_with, are_advised_by, are_guided_by, are_mentored_by, are_counselled_by, seek_advice_from
kooky	3	are_underestimated_by	underestimate
confrontational	3	offend, anger, intimidate, threaten	are_intimidated_by, are_bullied_by, intimidate_with, are_threatened_by, fear
decadent	3	disgust, drink_with, sleep_with	are_disgusted_by, are_deflowered_by
bratty	3	embarrass	are_driven_mad_by, are_frustrated_by, tune_out, are_bored_by
melodious	3	sing_with, attract	are_attracted_by
sombre	3	lecture_to, preach_to	are_lectured_by, are_denounced_by, are_chastised_by
disappointed	3	are_disappointed_by	fail_to_impress, fail_to_deliver_for
wily	3	lay_a_tray_for, trick, fool	are_lured_by, are_tricked_by, are_fooled_by
money-grubbing	3	steal_from, rob, defraud, withhold_payment_from	are_underpaid_by
awkward	3	fail_to_impress	are_unimpressed_by, are_unimpressed_with
androgynous	3	mystify	are_intrigued_by
famous-for-being-famous	3	fail_to_impress	are_unimpressed_by, are_unimpressed_with
rhythmic	3	sleep_with	sleep_with, are_deflowered_by
gristly	3	disgust, are_dumped_by	are_disgusted_by
misshapen	3	disgust, alienate	are_disgusted_by, are_shocked_by, flee_from
demanding	3	refuse_to_pay, spurn, rebuff, withhold_payment_from, pick_on	are_underappreciated_by, are_underpaid_by
melancholic	3	are_diagnosed_by, are_treated_by	diagnose, sympathize_with, are_moved_by, tune_out, avoid
self-centred	3	refuse_to_pay, spurn, rebuff, withhold_payment_from, ignore	are_underappreciated_by, are_underpaid_by, are_overlooked_by
imposing	3	overwork, dominate, subjugate, rule_over, command, bully, pick_on	bow_down_to, are_dominated_by, are_ruled_by, are_commanded_by, are_bullied_by, are_pushed_too_far_by
tough-as-nails	3	intimidate, threaten, bully, command, dominate, are_feared_by	are_intimidated_by, are_bullied_by, intimidate_with, are_threatened_by, fear
outspoken	3	speak_for, propagandize_for, persuade, debate_with	debate_with, tune_out, are_bored_by, speak_via, communicate_via, talk_through
unforgiving	3	banish, rebuff	are_banished_by, are_hated_by
conscientious	3	sweat_for, labor_for, are_overworked_by, are_underappreciated_by	are_overworked_by, are_underappreciated_by
nosy	3	spy_on, monitor, watch_over, observe	are_monitored_by, are_observed_by
wicked	3	deceive, cheat, manipulate, are_feared_by, enslave, lie_to, trick, are_forgiven_by, are_defeated_by, are_killed_by, corrupt, lead_astray, bribe, blackmail, buy_off	incarcerate, are_sickened_by, imprison, are_victimized_by, renounce, are_misrepresented_by, kill, are_lured_by, are_enslaved_by, forgive, defeat, denounce, stand_up_to, resist, are_corrupted_by, are_bribed_by, are_bought_off_by, are_blackmailed_by
grouchy	3	complain_to, criticize, anger, alienate	are_driven_mad_by, are_frustrated_by, tune_out, are_bored_by
overly-commercial	3	profit_from, hire, fund, invest_in, negotiate_with, take_advantage_of	are_hired_by, work_for, are_funded_by
adaptive	3	are_underestimated_by, copy, imitate, mimic	underestimate, are_copied_by, are_imitated_by
bawdy	3	disgust, drink_with, sleep_with	are_disgusted_by, are_deflowered_by
chiseled	3	attract, seduce, flirt_with, entice, sleep_with	are_attracted_by, fall_in_love_with, are_enticed_by, are_charmed_by, are_seduced_by, sleep_with
petulant	3	complain_to	are_driven_mad_by
world-beating	3	impress, inspire	are_impressed_by, are_inspired_by, look_up_to
consciousness-raising	3	inspire, rouse	are_roused_by, are_inspired_by, look_up_to
award-winning	3	impress, inspire	are_impressed_by, are_inspired_by, look_up_to
hostile	3	attack, assault, savage	are_attacked_by, are_assaulted_by, are_savaged_by, are_bitten_by
sharp-witted	3	joke_about, laugh_at, mock	are_offended_by, are_insulted_by, are_disrespected_by, are_mocked_by, are_taunted_by
dictatorial	3	bully, overwork, command, rule_over, taunt	are_pushed_too_far_by, are_overworked_by, are_underappreciated_by
totalitarian	3	bully, overwork, command, rule_over, taunt, subjugate, silence	are_pushed_too_far_by, are_overworked_by, are_underappreciated_by, are_silenced_by, are_taunted_by, are_bullied_by, stand_up_to, resist
deep-voiced	3	sing_with	sing_with, are_entertained_by
harsh	3	offend	are_offended_by, are_insulted_by, are_disrespected_by, are_mocked_by, are_taunted_by
calm	3	chat_with, share_stories_with, interact_with	chat_with, share_stories_with, interact_with
cutting	3	mock, taunt, humiliate	are_mocked_by, are_taunted_by, are_humiliated_by
inscrutable	3	mystify	are_intrigued_by, are_mystified_by
chivalrous	3	save, protect, rescue, die_for, defend	are_saved_by, are_rescued_by, are_protected_by, are_defended_by, are_shielded_by
ingenious	3	impress, are_underestimated_by, upstage, trick, fool,  lay_a_trap_for, advise, are_lured_by, counsel, mentor, educate, teach, create_for	are_impressed_by, are_deceived_by, are_tricked_by, seek_advice_from, are_counselled_by, are_mentored_by, are_guided_by, are_taught_by
nonchalant	3	chat_with, share_stories_with, interact_with	chat_with, share_stories_with, interact_with
fussy	3	condescend_to, complain_to, criticize, undermine	are_criticized_by, are_undermined_by
calm-headed	3	chat_with, share_stories_with, interact_with	chat_with, share_stories_with, interact_with
unbending	3	refuse_to_pay, spurn, rebuff, withhold_payment_from	are_ignored_by, are_driven_mad_by
over-protective	3	protect, defend, guard, monitor, watch_over, spy_on	are_protected_by, are_defended_by, are_guarded_by, are_monitored_by
carefree	3	chat_with, share_stories_with, interact_with	chat_with, share_stories_with, interact_with
isolated	3	alienate, pine_for, cry_for, are_banished_by	avoid, banish
gangly	3	are_mocked_by, are_taunted_by, fail_to_impress	taunt, mock, laugh_at, joke_about, are_unimpressed_with, are_unimpressed_by
well-connected	3	spead_lies_about, mentor	are_mentored_by
insubordinate	3	turn_against, disobey	are_disobeyed_by, scold, chastise
jolly	3	entertain, joke_about	are_entertained_by
good-natured	3	are_moved_by, forgive, sympathize_with	seek_sympathy_from, obtain_sympathy_from, are_healed_by
puritanical	3	condescend_to, preach_to	are_lectured_by
bubbly	3	encourage, rouse, energize	are_encouraged_by, are_energized_by, are_roused_by
self-satisfied	3	condescend_to, preach_to	are_lectured_by
belligerent	3	attack, assault, savage	are_attacked_by, are_assaulted_by, are_savaged_by, are_bitten_by
motivational	3	encourage, rouse, energize, inspire	are_encouraged_by, are_energized_by, are_inspired_by, are_roused_by
instructive	3	inform, teach, educate, lecture_to, mentor, guide, counsel	are_taught_by, are_lectured_by, are_educated_by, are_informed_by, are_mentored_by, are_guided_by, are_counselled_by
incoherent	3	are_fired_by, spread_lies_about	fire
raving	3	are_fired_by, spread_lies_about	fire
glamorous	3	charm, entice, seduce, pick_up	flirt_with, pick_up, are_charmed_by, are_seduced_by, are_enticed_by, are_attracted_by
gung-ho	3	stand_up_to, resist, challenge, campaign_against, disobey	
sartorial	3	charm, entice, seduce, pick_up	flirt_with, pick_up, are_charmed_by, are_seduced_by, are_enticed_by, are_attracted_by
hapless	3	are_dumped_by	dump, take_advnatage_of
disfigured	3	disgust, are_dumped_by	are_disgusted_by, dump
cheap	3	refuse_to_pay, withhold_payment_from	
highly-educated	3	study, study_under, read_the_works_of, learn_from	are_studied_by, teach, educate
primitive	3	pray_to, sacrifice_to	are_worshipped_by, manipulate, sacrifice
superstitious	3	are_blessed_by, worship, pray_to, sacrifice_to, pray_with	are_worshipped_by, manipulate, sacrifice
simplistic	3	underestimate, are_ignored_by	are_underestimated_by, underestimate,
competent	3	are_promoted_by, are_hired_by, upstage	promote, reward, fail_to_reward
incorruptible	3	inspire	are_inspired_by
wild-haired	3		
patronising	3	condescend_to, preach_to	
out-of-touch	3	are_informed_by	leak_to
antagonistic	3	offend, insult, taunt, mock, laugh_at, joke_about	are_offended_by, are_insulted_by, are_disrespected_by, are_mocked_by, are_taunted_by, are_pushed_too_far_by
confused	3		
dangerous	3		
remorseless	3		
richly-voiced	3	sing_with	
demonic	3	are_exorcized_by	exorcize
emotionless	3		
unstoppable	3		
crippled	3		
trigger-happy	3	attack, kill, murder, assassinate, are_arrested_for_killing	are_killed_by, are_assassinated_by
hairy-footed	3		
unintelligible	3	fail_to_impress	are_unimpressed_by, are_unimpressed_with
insolent	3	offend, insult, taunt, mock, laugh_at, joke_about	are_offended_by, are_insulted_by, are_disrespected_by, are_mocked_by, are_taunted_by, are_pushed_too_far_by
destructive	3	destroy	are_destroyed_by
focused	3	ignore	are_ignored_by
