Label	Subject	Verbs	Object
publisher:playboy	Publisher	publish, popularize, propagandize_for	Playboy
pornographer:playboy	Pornographer	publish, popularize, propagandize_for	Playboy
campaigner:publisher	Campaigner	campaign_against, criticize, disagree_with, debate_with	Publisher
campaigner:pornographer	Campaigner	pose_for, campaign_against, criticize, disagree_with, debate_with	Pornographer
campaigner:playboy	Campaigner	date, flirt_with, sleep_with	Playboy
pundit:pundit	Pundit	disagree_with, debate_with, dislike, criticize, argue_with	Pundit
pundit:interviewer	Pundit	answer_questions_from, are_interviewed_by	Interviewer
interviewer:pundit	Interviewer	interview, speak_to, talk_to, cross_examine, question	Pundit
assassin:womanizer	Assassin	assassinate, kill, spy_on, target, are_arrested_for_killing, murder, kill_for	Womanizer
malcontent:president	Malcontent	complain_to, criticize, spread_lies_about, campaign_against, testify_against	President
malcontent:political leader	Malcontent	complain_to, criticize, spread_lies_about, campaign_against, testify_against	Political Leader
malcontent:womanizer	Malcontent	complain_to, criticize, spread_lies_about, campaign_against, testify_against	Womanizer
dissident:womanizer	Dissident	rebel_against, stand_up_to, lose_faith_in	Womanizer
patsy:president	Patsy	are_fooled_by, are_tricked_by, are_disrespected_by, assassinate, are_arrested_for_killing, kill, murder, target	President
patsy:political leader	Patsy	are_fooled_by, are_tricked_by, are_disrespected_by, assassinate, are_arrested_for_killing	Political Leader
patsy:womanizer	Patsy	resent, are_arrested_for_killing	Womanizer
businessman:hero	Businessman	fund, finance, corrupt, bribe, pay_off, buy_off	Hero
businessman:crime fighter	Businessman	corrupt, bribe, pay_off, buy_off	Crime Fighter
businessman:strongman	Businessman	corrupt, bribe, pay_off, buy_off	Strongman
billionaire:hero	Billionaire	corrupt, bribe, pay_off, buy_off	Hero
billionaire:crime fighter	Billionaire	corrupt, bribe, pay_off, buy_off, are_arrested_by, are_investigated_by, are_probed_by, are_wanted_by	Crime Fighter
billionaire:strongman	Billionaire	corrupt, bribe, pay_off, buy_off	Strongman
villain:crime fighter	Villain	are_defeated_by, underestimate, fight_against, are_arrested_by, are_investigated_by, are_probed_by	Crime Fighter
villain:strongman	Villain	are_defeated_by, underestimate, fight_with, are_wanted_by	Strongman
crimeboss:strongman	Crimeboss	are_defeated_by, underestimate, fight_against, are_wanted_by	Strongman
engineer:ceo	Engineer	work_for, invent_for, create_for, are_underpaid_by	CEO
engineer:businessman	Engineer	work_for, invent_for, create_for, are_underpaid_by	Businessman
engineer:visionary	Engineer	look_up_to, are_defrauded_by, are_cheated_by	Visionary
engineer:pioneer	Engineer	look_up_to, are_defrauded_by, are_cheated_by	Pioneer
daughter:child	Daughter	mock, taunt, are_mocked_by, are_taunted_by	Child
daughter:schoolkid	Daughter	mock, taunt, are_mocked_by, are_taunted_by	Schoolkid
sister:child	Sister	mock, taunt, are_mocked_by, are_taunted_by	Child
sister:schoolkid	Sister	mock, taunt, are_mocked_by, are_taunted_by	Schoolkid
student:child	Student	mock, taunt, are_mocked_by, are_taunted_by, learn_with	Child
student:schoolkid	Student	mock, taunt, are_mocked_by, are_taunted_by, learn_with	Schoolkid
nerd:child	Nerd	are_mocked_by, are_taunted_by, learn_with, condescend_to	Child
nerd:schoolkid	Nerd	are_mocked_by, are_taunted_by, learn_with, condescend_to	Schoolkid
saxophonist:child	Saxophonist	are_mocked_by, are_taunted_by, learn_with, condescend_to	Child
saxophonist:schoolkid	Saxophonist	are_mocked_by, are_taunted_by, learn_with, condescend_to	Schoolkid
wanderer:poet	Wanderer	accompany	Poet
campaigner:poet	Campaigner	are_inspired_by, believe_in, lose_faith_in, commission	Poet
hero:father	Hero	are_raised_by, look_up_to, lose_faith_in, are_rebuked_by	Father
hero:henchman	Hero	fight_against, defeat, hit, are_threatened_by, are_attacked_by	Henchman
hero:jedi knight	Hero	fight_with, are_inspired_by, look_up_to, pray_with, lose_faith_in	Jedi Knight
farm boy:villain	Farm boy	fight_against, defeat, hit, are_threatened_by, are_attacked_by	Villain
farm boy:father	Farm boy	break_with, lose_faith_in, are_disappointed_by, are_rebuked_by	Father
farm boy:henchman	Farm boy	fight_against, defeat, hit, are_threatened_by, are_attacked_by	Henchman
farm boy:jedi knight	Farm boy	fight_with, are_inspired_by, look_up_to, pray_with, lose_faith_in	Jedi Knight
jedi knight:villain	Jedi Knight	fight_against, defeat, hit, are_threatened_by, are_attacked_by	Villain
jedi knight:father	Jedi Knight	break_with, lose_faith_in, are_disappointed_by, are_rebuked_by	Father
jedi knight:henchman	Jedi Knight	fight_against, defeat, hit, are_threatened_by, are_attacked_by	Henchman
religious leader:political leader	Religious Leader	counsel, pray_for, preach_to, compaign_against	Political Leader
religious leader:prime minister	Religious Leader	counsel, pray_for, preach_to, compaign_against	Prime Minister
religious leader:writer	Religious Leader	speak_through, talk_through, communicate_via	Writer
philosopher:political leader	Philosopher	inspire, condescend_to, teach, educate, are_disappointed_by, argue_with, debate_with	Political Leader
philosopher:prime minister	Philosopher	inspire, condescend_to, teach, educate, are_disappointed_by, argue_with, debate_with	Prime Minister
philosopher:writer	Philosopher	inspire, condescend_to, teach, educate, are_disappointed_by, argue_with, debate_with	Writer
ascetic:political leader	Ascetic	vote_against, run_against, campaign_against, complain_to, criticize	Political Leader
ascetic:prime minister	Ascetic	vote_against, run_against, campaign_against, complain_to, criticize	Prime Minister
ascetic:writer	Ascetic	are_interviewed_by, answer_questions_from, speak_to, appeal_to	Writer
artist:artist	Artist	compete_with, compete_against, copy, imitiate, pose_for, commission	Artist
artist:painter	Artist	compete_with, compete_against, copy, imitiate, pose_for	Painter
artist:sculptor	Artist	compete_with, compete_against, copy, imitiate, pose_for	Sculptor
painter:artist	Painter	compete_with, compete_against, copy, imitiate, pose_for, paint	Artist
painter:painter	Painter	compete_with, compete_against, copy, imitiate, pose_for, paint	Painter
painter:sculptor	Painter	compete_with, compete_against, copy, imitiate, pose_for, paint	Sculptor
sculptor:artist	Sculptor	compete_with, compete_against, copy, imitiate, pose_for	Artist
sculptor:painter	Sculptor	compete_with, compete_against, copy, imitiate, pose_for	Painter
sculptor:sculptor	Sculptor	compete_with, compete_against, copy, imitiate, pose_for	Sculptor
actress:recluse	Actress	track_down, chase_after, discover, find, let_go_of	Recluse
campaigner:actor	Campaigner	campaign_against, criticize, disagree_with, debate_with	Actor
chef:actress	Chef	cook_for	Actress
tv host:actress	TV Host	interview, speak_to, talk_to, cross_examine, question	Actress
media tycoon:actress	Media Tycoon	propagandize_for, shill_for, lie_for, brief_against, spread_lies_about	Actress
religious leader:fbi agent	Religious Leader	preach_to, lecture_to, are_arrested_by	FBI Agent
religious leader:administrator	Religious Leader	preach_to, lecture_to, are_arrested_by	Administrator
religious leader:bureaucrat	Religious Leader	preach_to, lecture_to, are_arrested_by	Bureaucrat
religious leader:lawman	Religious Leader	preach_to, lecture_to, are_arrested_by	Lawman
religious leader:transvestite	Religious Leader	preach_to, lecture_to, campaign_against	Transvestite
preacher:fbi agent	Preacher	preach_to, lecture_to, are_arrested_by	FBI Agent
preacher:administrator	Preacher	preach_to, lecture_to, are_arrested_by	Administrator
preacher:bureaucrat	Preacher	preach_to, lecture_to, are_arrested_by	Bureaucrat
preacher:lawman	Preacher	preach_to, lecture_to, are_arrested_by	Lawman
preacher:transvestite	Preacher	preach_to, lecture_to, campaign_against	Transvestite
campaigner:fbi agent	Campaigner	campaign_against, criticize, disagree_with, debate_with	FBI Agent
campaigner:administrator	Campaigner	campaign_against, criticize, disagree_with, debate_with	Administrator
campaigner:bureaucrat	Campaigner	campaign_against, criticize, disagree_with, debate_with	Bureaucrat
campaigner:lawman	Campaigner	campaign_against, criticize, disagree_with, debate_with	Lawman
campaigner:transvestite	Campaigner	campaign_against, criticize, disagree_with, debate_with	Transvestite
political advocate:fbi agent	Political Advocate	campaign_against, criticize, disagree_with, debate_with	FBI Agent
political advocate:administrator	Political Advocate	campaign_against, criticize, disagree_with, debate_with	Administrator
political advocate:bureaucrat	Political Advocate	campaign_against, criticize, disagree_with, debate_with	Bureaucrat
political advocate:lawman	Political Advocate	campaign_against, criticize, disagree_with, debate_with	Lawman
political advocate:transvestite	Political Advocate	campaign_against, criticize, disagree_with, debate_with	Transvestite
actress:director	Actress	are_fired_by, are_scripted_by, are_supervised_by, bow_down_to, cede_power_to	Director
director:actress	Director	fire, hire, supervise, lose_control_over	Actress
son:fool	Son	are_entertained_by, laugh_at	Fool
son:criminal	Son	are_corrupted_by, lose_faith_in	Criminal
brother:fool	Brother	are_entertained_by, laugh_at, are_embarrassed_by	Fool
brother:son	Brother	advise, lecture_to	Son
brother:criminal	Brother	are_corrupted_by, lose_faith_in	Criminal
crimeboss:fool	Crimeboss	dismiss, lose_control_over, are_embarrassed_by	Fool
crimeboss:son	Crimeboss	lecture_to, condescend_to, corrupt, disgust	Son
crimeboss:criminal	Crimeboss	hire, profit_from, recruit	Criminal
campaigner:pundit	Campaigner	argue_with, debate_with, campaign_against	Pundit
campaigner:conservative	Campaigner	argue_with, debate_with, campaign_against	Conservative
director:pundit	Director	are_criticized_by	Pundit
director:conservative	Director	argue_with, debate_with, campaign_against, are_criticized_by	Conservative
artist:scientist	Artist	criticize, lose_faith_in, disagree_with, argue_with, debate_with, are_lectured_by	Scientist
painter:scientist	Painter	paint, criticize, lose_faith_in, disagree_with, argue_with, debate_with, are_lectured_by	Scientist
sculptor:scientist	Sculptor	criticize, lose_faith_in, disagree_with, argue_with, debate_with, are_lectured_by	Scientist
wife:politician	Wife	marry, divorce	Politician
wife:first lady	Wife	marry, divorce	First Lady
mother:politician	Mother	lecture_to, condescend_to, mentor, raise, breastfeed, give_birth_to	Politician
mother:first lady	Mother	campaign_against, criticize, disagree_with, debate_with	First Lady
first lady:first lady	First Lady	compete_with, compete_against, mock	First Lady
lawyer:politician	Lawyer	defend, represent, are_retained_by, cross_examine, accuse, believe_in, act_for, negotiate_for, are_retained_by, settle_with	Politician
lawyer:first lady	Lawyer	defend, represent, are_retained_by, cross_examine, accuse, believe_in, act_for, negotiate_for, are_retained_by, settle_with	First Lady
rock singer:artist	Rock Singer	sing_with, perform_with, impersonate, mimic, are_inspired_by, pose_for, commission	Artist
singer:artist	Singer	sing_with, perform_with, impersonate, mimic, are_inspired_by, pose_for,	Artist
musician:artist	Musician	pose_for, perform_with, impersonate, mimic, are_inspired_by, commission	Artist
composer:artist	Composer	compose_with, perform_with, pose_for	Artist
mouse:duck	Mouse	are_hunted_by, run_away_from, flee_from, hide_from	Duck
hero:duck	Hero	hunt, track_down	Duck
religious leader:pundit	Religious Leader	argue_with, debate_with, campaign_against, are_criticized_by, preach_to	Pundit
nun:writer	Nun	preach_to, lecture_to, are_satirized_by	Writer
nun:pundit	Nun	preach_to, lecture_to, are_mocked_by, pray_for	Pundit
boxer:businessman	Boxer	are_corrupted_by, are_bought_off_by,  are_pushed_too_far_by	Businessman
sportsman:boxer	Sportsman	fight_against, defeat, hit, are_threatened_by, are_attacked_by	Boxer
sportsman:businessman	Sportsman	are_corrupted_by, are_bought_off_by,  are_pushed_too_far_by	Businessman
athlete:boxer	Athlete	fight_against, defeat, hit, are_threatened_by, are_attacked_by	Boxer
athlete:businessman	Athlete	are_corrupted_by, are_bought_off_by,  are_pushed_too_far_by	Businessman
dictator:dictator	Dictator	topple, overthrow, depose, usurp, supplant, are_toppled_by, are_usurped_by, are_deposed_by, are_overthrown_by, bow_down_to, cede_power_to	Dictator
dictator:tyrant	Dictator	topple, overthrow, depose, usurp, supplant, are_toppled_by, are_usurped_by, are_deposed_by, are_overthrown_by, bow_down_to, cede_power_to	Tyrant
dictator:fascist	Dictator	topple, overthrow, depose, usurp, supplant, are_toppled_by, are_usurped_by, are_deposed_by, are_overthrown_by	Fascist
tyrant:dictator	Tyrant	topple, overthrow, depose, usurp, supplant, are_toppled_by, are_usurped_by, are_deposed_by, are_overthrown_by, bow_down_to, cede_power_to	Dictator
tyrant:tyrant	Tyrant	topple, overthrow, depose, usurp, supplant, are_toppled_by, are_usurped_by, are_deposed_by, are_overthrown_by, bow_down_to, cede_power_to	Tyrant
tyrant:fascist	Tyrant	topple, overthrow, depose, usurp, supplant, are_toppled_by, are_usurped_by, are_deposed_by, are_overthrown_by	Fascist
fascist:dictator	Fascist	topple, overthrow, depose, usurp, supplant, are_toppled_by, are_usurped_by, are_deposed_by, are_overthrown_by, bow_down_to, cede_power_to	Dictator
fascist:tyrant	Fascist	topple, overthrow, depose, usurp, supplant, are_toppled_by, are_usurped_by, are_deposed_by, are_overthrown_by	Tyrant
fascist:fascist	Fascist	topple, overthrow, depose, usurp, supplant, are_toppled_by, are_usurped_by, are_deposed_by, are_overthrown_by	Fascist
dictator:political leader	Dictator	topple, overthrow, depose, usurp, supplant, are_toppled_by, are_usurped_by, are_deposed_by, are_overthrown_by	Political Leader
dictator:prime minister	Dictator	topple, overthrow, depose, usurp, supplant, are_toppled_by, are_usurped_by, are_deposed_by, are_overthrown_by	Prime Minister
dictator:writer	Dictator	speak_through, talk_through, communicate_via	Writer
tyrant:prime minister	Tyrant	topple, overthrow, depose, usurp, supplant, are_toppled_by, are_usurped_by, are_deposed_by, are_overthrown_by	Prime Minister
tyrant:writer	Tyrant	speak_through, talk_through, communicate_via	Writer
fascist:political leader	Fascist	topple, overthrow, depose, usurp, supplant, are_toppled_by, are_usurped_by, are_deposed_by, are_overthrown_by	Political Leader
fascist:prime minister	Fascist	topple, overthrow, depose, usurp, supplant, are_toppled_by, are_usurped_by, are_deposed_by, are_overthrown_by	Prime Minister
fascist:writer	Fascist	speak_through, talk_through, communicate_via	Writer
neighbour:father	Neighbour	confide_in, share_stories_with	Father
neighbour:fool	Neighbour	are_embarrassed_by, ignore, laugh_at, are_insulted_by, are_mocked_by, are_driven_mad_by	Fool
bore:father	Bore	alienate, lecture_to, condescend_to, are_rebuked_by	Father
bore:fool	Bore	alienate, lecture_to, condescend_to	Fool
religious person:father	Religious Person	alienate, lecture_to, condescend_to, are_rebuked_by	Father
religious person:fool	Religious Person	alienate, lecture_to, condescend_to	Fool
prime minister:political leader	Prime Minister	run_against, campaign_against, vote_against, brief_against	Political Leader
prime minister:prime minister	Prime Minister	run_against, campaign_against, vote_against, brief_against	Prime Minister
prime minister:writer	Prime Minister	speak_through, talk_through, communicate_via, are_satirized_by, are_criticized_by	Writer
politician:lecher	Politician	run_against, campaign_against, vote_against, brief_against	Lecher
historian:president	Historian	write_about, write_to, write_for	President
historian:politician	Historian	write_about, write_to, write_for	Politician
historian:lecher	Historian	write_about, write_to, write_for	Lecher
campaigner:lecher	Campaigner	campaign_against, criticize, disagree_with, debate_with	Lecher
inventor:inventor	Inventor	copy, imitate, sue, invent_for, profit_fom	Inventor
inventor:engineer	Inventor	copy, imitate, sue, invent_for, profit_fom	Engineer
physicist:inventor	Physicist	are_copied_by, are_imitated_by, sue, are_sued_by	Inventor
physicist:businessman	Physicist	are_sued_by, sue	Businessman
physicist:engineer	Physicist	argue_with, disagree_with, are_copied_by, are_imitated_by, sue	Engineer
recluse:inventor	Recluse	flee_from, run_away_from, hide_from, are_discovered_by, are_sued_by	Inventor
recluse:businessman	Recluse	flee_from, run_away_from, hide_from, are_discovered_by, are_sued_by	Businessman
recluse:engineer	Recluse	flee_from, run_away_from, hide_from, are_discovered_by, are_sued_by	Engineer
mentor:villain	Mentor	lose_control_over, lose_faith_in, are_disappointed_by	Villain
mentor:father	Mentor	break_with, are_disappointed_by, are_rebuked_by	Father
mentor:henchman	Mentor	fight_against, defeat, hit, are_threatened_by, are_attacked_by, are_disappointed_by	Henchman
mentor:jedi knight	Mentor	fight_against, defeat, hit, are_threatened_by, are_attacked_by, are_disappointed_by	Jedi Knight
director:businessman	Director	are_funded_by, are_financed_by, borrow_from, owe_to	Businessman
director:ceo	Director	undermine, campaign_against, vote_against	CEO
director:newspaper magnate	Director	are_criticized_by, borrow_from, owe_to	Newspaper Magnate
director:media tycoon	Director	are_criticized_by, borrow_from, owe_to, are_blackmailed_by	Media Tycoon
director:billionaire	Director	are_bought_off_by, borrow_from, owe_to, are_bribed_by	Billionaire
writer:businessman	Writer	write_for, propagandize_for, shill_for	Businessman
writer:ceo	Writer	write_for, propagandize_for, shill_for	CEO
writer:newspaper magnate	Writer	write_for, propagandize_for, shill_for	Newspaper Magnate
writer:media tycoon	Writer	write_for, propagandize_for, shill_for, are_published_by	Media Tycoon
writer:billionaire	Writer	write_for, propagandize_for, shill_for, are_published_by	Billionaire
actor:businessman	Actor	campaign_against, criticize, disagree_with, debate_with	Businessman
actor:ceo	Actor	campaign_against, criticize, disagree_with, debate_with	CEO
actor:newspaper magnate	Actor	are_scripted_by, are_bought_off_by, borrow_from, owe_to, are_bribed_by	Newspaper Magnate
actor:media tycoon	Actor	are_scripted_by, are_bought_off_by, borrow_from, owe_to, are_bribed_by	Media Tycoon
actor:billionaire	Actor	are_scripted_by, are_bought_off_by, borrow_from, owe_to, are_bribed_by	Billionaire
father:father	Father	disagree_with, argue_with, are_rebuked_by, rebuke	Father
father:fool	Father	are_embarrassed_by, ignore, laugh_at, are_insulted_by, are_mocked_by, are_driven_mad_by	Fool
fool:father	Fool	laugh_at, mock, entertain, are_rebuked_by	Father
fool:fool	Fool	are_driven_mad_by	Fool
dog:child	Dog	show_loyalty_to, look_up_to, devour	Child
dog:hero	Dog	show_loyalty_to, look_up_to, devour	Hero
businessman:restauranteur	Businessman	fund, finance, guarantee, lose_control_over, lend_to	Restauranteur
ceo:restauranteur	CEO	fund, finance, guarantee, lose_control_over, lend_to	Restauranteur
novelist:director	Novelist	write_about, write_to, write_for	Director
scientist:evolutionary biologist	Scientist	disagree_with, argue_with, debate_with, experiment_on	Evolutionary Biologist
scientist:paleontologist	Scientist	disagree_with, argue_with, debate_with, experiment_on	Paleontologist
scientist:writer	Scientist	disagree_with, argue_with, debate_with, experiment_on	Writer
atheist:evolutionary biologist	Atheist	disagree_with, argue_with, debate_with	Evolutionary Biologist
atheist:paleontologist	Atheist	disagree_with, argue_with, debate_with	Paleontologist
atheist:writer	Atheist	disagree_with, argue_with, debate_with, are_criticized_by, are_satirized_by	Writer
campaigner:evolutionary biologist	Campaigner	disagree_with, argue_with, debate_with	Evolutionary Biologist
campaigner:paleontologist	Campaigner	disagree_with, argue_with, debate_with	Paleontologist
evolutionary biologist:paleontologist	Evolutionary Biologist	disagree_with, argue_with, debate_with	Paleontologist
evolutionary biologist:writer	Evolutionary Biologist	disagree_with, argue_with, debate_with, are_criticized_by, are_satirized_by	Writer
skeptic:evolutionary biologist	Skeptic	lose_faith_in, disagree_with, argue_with, debate_with	Evolutionary Biologist
skeptic:paleontologist	Skeptic	lose_faith_in, disagree_with, argue_with, debate_with	Paleontologist
skeptic:writer	Skeptic	disagree_with, argue_with, debate_with, are_criticized_by, are_satirized_by	Writer
president:president	President	campaign_against, criticize, disagree_with, debate_with, run_against	President
president:political leader	President	campaign_against, criticize, disagree_with, debate_with, run_against	Political Leader
president:womanizer	President	are_charmed_by	Womanizer
political leader:president	Political Leader	campaign_against, criticize, disagree_with, debate_with, run_against	President
political leader:womanizer	Political Leader	are_charmed_by	Womanizer
campaigner:director	Campaigner	campaign_against, criticize, disagree_with, debate_with	Director
recluse:religious leader	Recluse	flee_from, run_away_from, hide_from, are_discovered_by, are_denounced_by, are_condemned_by, are_banished_by	Religious Leader
recluse:tyrant	Recluse	flee_from, run_away_from, hide_from, are_discovered_by, are_denounced_by, are_condemned_by	Tyrant
fugitive:religious leader	Fugitive	flee_from, run_away_from, hide_from, are_discovered_by, are_denounced_by, are_condemned_by, are_banished_by, are_evicted_by	Religious Leader
fugitive:tyrant	Fugitive	flee_from, run_away_from, hide_from, are_discovered_by, are_denounced_by, are_condemned_by,  flee_from, are_evicted_by	Tyrant
writer:tyrant	Writer	write_for, propagandize_for, shill_for	Tyrant
novelist:religious leader	Novelist	write_for, propagandize_for, shill_for, are_excommunicated_by	Religious Leader
novelist:tyrant	Novelist	write_for, propagandize_for, shill_for	Tyrant
conservative:politician	Conservative	vote_against, vote_for, campaign_for, campaign_against	Politician
conservative:vice president	Conservative	vote_against, vote_for, campaign_for, campaign_against	Vice President
campaigner:vice president	Campaigner	vote_against, vote_for, campaign_for, campaign_against	Vice President
writer:comedian	Writer	sue, are_satirized_by, are_mocked_by	Comedian
writer:cartoonist	Writer	sue, are_satirized_by, are_mocked_by	Cartoonist
writer:humorist	Writer	sue, are_satirized_by, are_mocked_by	Humorist
director:comedian	Director	sue, are_satirized_by, are_mocked_by	Comedian
director:cartoonist	Director	sue, are_satirized_by, are_mocked_by	Cartoonist
director:humorist	Director	sue, are_satirized_by, are_mocked_by	Humorist
actor:cartoonist	Actor	sue, are_satirized_by, are_mocked_by, are_scripted_by	Cartoonist
actor:humorist	Actor	sue, are_satirized_by, are_mocked_by, are_scripted_by	Humorist
comedian:writer	Comedian	mock, laugh_at, joke_about, satirize	Writer
comedian:cartoonist	Comedian	mock, laugh_at, joke_about, satirize, copy, imitate, are_copied_by, are_imitated_by	Cartoonist
humorist:writer	Humorist	mock, laugh_at, joke_about, satirize, are_sued_by	Writer
humorist:comedian	Humorist	mock, laugh_at, joke_about, satirize, copy, imitate, are_copied_by, are_imitated_by	Comedian
humorist:cartoonist	Humorist	mock, laugh_at, joke_about, satirize, copy, imitate, are_copied_by, are_imitated_by	Cartoonist
humorist:humorist	Humorist	mock, laugh_at, joke_about, satirize, copy, imitate, are_copied_by, are_imitated_by	Humorist
comedian:director	Comedian	mock, laugh_at, joke_about, satirize, are_sued_by	Director
comedian:actor	Comedian	mock, laugh_at, joke_about, satirize, are_sued_by	Actor
cartoonist:writer	Cartoonist	mock, laugh_at, joke_about, satirize, are_sued_by	Writer
cartoonist:director	Cartoonist	mock, laugh_at, joke_about, satirize, are_sued_by	Director
cartoonist:actor	Cartoonist	mock, laugh_at, joke_about, satirize, are_sued_by	Actor
cartoonist:comedian	Cartoonist	mock, laugh_at, joke_about, satirize, are_sued_by	Comedian
cartoonist:humorist	Cartoonist	mock, laugh_at, joke_about, satirize, are_sued_by	Humorist
humorist:director	Humorist	mock, laugh_at, joke_about, satirize, are_sued_by	Director
humorist:actor	Humorist	mock, laugh_at, joke_about, satirize, are_sued_by	Actor
hero:grump	Hero	are_chastised_by, are_criticized_by, are_driven_mad_by	Grump
hero:octopus	Hero	struggle_with, are_hindered_by, are_detained_by, are_undermined_by	Octopus
sponge:grump	Sponge	are_chastised_by, are_criticized_by, are_driven_mad_by	Grump
sponge:octopus	Sponge	struggle_with, are_hindered_by, are_detained_by, are_undermined_by	Octopus
grump:hero	Grump	complain_to, criticize, spread_lies_about, chastise	Hero
grump:sponge	Grump	complain_to, criticize, spread_lies_about, chastise	Sponge
octopus:hero	Octopus	hinder, detain, complain_to, criticize, chastise	Hero
octopus:sponge	Octopus	hinder, detain, complain_to, criticize, chastise	Sponge
humorist:tv host	Humorist	laugh_at, mock, entertain, are_interviewed_by, answer_questions_from	TV Host
ceo:inventor	CEO	profit_from, fund, finance, guarantee, are_sued_by, defraud, fail_to_reward	Inventor
ceo:programmer	CEO	profit_from, fund, finance, guarantee, are_sued_by, defraud, fail_to_reward	Programmer
businessman:inventor	Businessman	profit_from, fund, finance, guarantee, are_sued_by, defraud	Inventor
businessman:programmer	Businessman	profit_from, fund, finance, guarantee, are_sued_by, defraud	Programmer
visionary:inventor	Visionary	are_copied_by, are_imitated_by, inspire, influence	Inventor
visionary:businessman	Visionary	are_copied_by, are_imitated_by, borrow_from, are_funded_by, are_financed_by, are_guaranteed_by	Businessman
visionary:programmer	Visionary	are_copied_by, are_imitated_by, inspire, influence	Programmer
visionary:ceo	Visionary	are_copied_by, are_imitated_by, borrow_from, are_funded_by, are_financed_by, are_guaranteed_by	CEO
pioneer:inventor	Pioneer	are_copied_by, are_imitated_by, inspire, influence	Inventor
pioneer:businessman	Pioneer	are_copied_by, are_imitated_by, borrow_from, are_funded_by, are_financed_by, are_guaranteed_by	Businessman
pioneer:programmer	Pioneer	are_copied_by, are_imitated_by, inspire, influence	Programmer
pioneer:ceo	Pioneer	are_copied_by, are_imitated_by, borrow_from, are_funded_by, are_financed_by, are_guaranteed_by	CEO
actor:action star	Actor	work_with, condescend_to, are_beaten_by, fight_against, fight_with	Action Star
writer:action star	Writer	write_about, write_to, write_for	Action Star
director:action star	Director	supervise, command, are_disobeyed_by	Action Star
inventor:physicist	Inventor	are_influenced_by, copy, imitate, profit_from	Physicist
inventor:recluse	Inventor	track_down, chase_after, discover, find, let_go_of, invent_for	Recluse
businessman:physicist	Businessman	read_the_works_of, copy, imitate, profit_from	Physicist
businessman:recluse	Businessman	track_down, chase_after, discover, find, let_go_of, fund, finance	Recluse
engineer:inventor	Engineer	read_the_works_of, copy, imitate, profit_from	Inventor
engineer:physicist	Engineer	read_the_works_of, copy, imitate, profit_from	Physicist
engineer:recluse	Engineer	track_down, chase_after, discover, find, let_go_of, design_for	Recluse
political leader:tyrant	Political Leader	are_overthrown_by, are_toppled_by, topple, resist, overthrow, depose, campaign_against, run_against, bow_down_to, cede_power_to	Tyrant
exile:tyrant	Exile	flee_from, run_away_from, hide_from, are_discovered_by, are_banished_by, are_evicted_by	Tyrant
exile:politician	Exile	flee_from, run_away_from, hide_from, are_discovered_by, are_banished_by, are_evicted_by	Politician
exile:political leader	Exile	flee_from, run_away_from, hide_from, are_discovered_by, are_banished_by, are_evicted_by	Political Leader
recluse:politician	Recluse	flee_from, run_away_from, hide_from, are_discovered_by, are_banished_by, are_evicted_by	Politician
recluse:political leader	Recluse	flee_from, run_away_from, hide_from, are_discovered_by, are_banished_by, are_evicted_by	Political Leader
political leader:chess player	Political Leader	are_resisted_by, are_overthrown_by, silence, round_up, suppress, imprison, threaten, are_toppled_by, are_undermined_by	Chess Player
political leader:dissident	Political Leader	are_resisted_by, are_overthrown_by, silence, round_up, suppress, imprison, threaten, are_toppled_by, are_undermined_by	Dissident
president:chess player	President	are_resisted_by, are_overthrown_by, silence, round_up, suppress, imprison, threaten, are_toppled_by, are_undermined_by	Chess Player
president:dissident	President	are_resisted_by, are_overthrown_by, silence, round_up, suppress, imprison, threaten, are_toppled_by, are_undermined_by	Dissident
teacher:criminal	Teacher	educate, lecture_to, teach, are_disappointed_by, are_blackmailed_by	Criminal
teacher:businessman	Teacher	educate, lecture_to, teach, are_disappointed_by, are_bribed_by	Businessman
teacher:restauranteur	Teacher	educate, lecture_to, teach, are_disappointed_by, are_cursed_by	Restauranteur
crimeboss:businessman	Crimeboss	negotiate_with, profit_from, are_funded_by, are_financed_by, are_guaranteed_by	Businessman
crimeboss:restauranteur	Crimeboss	fund, finance, guarantee, lose_control_over, lend_to	Restauranteur
father:criminal	Father	raise, are_disappointed_by, discipline	Criminal
father:businessman	Father	negotiate_with, profit_from, are_funded_by, are_financed_by, are_guaranteed_by	Businessman
father:restauranteur	Father	are_disappointed_by, discipline	Restauranteur
husband:criminal	Husband	are_blackmailed_by	Criminal
husband:businessman	Husband	are_bought_off_by, borrow_from, owe_to, are_bribed_by	Businessman
husband:restauranteur	Husband	invest_in	Restauranteur
scientist:criminal	Scientist	invent_for, create_for, are_funded_by, are_financed_by, are_blackmailed_by, experiment_on	Criminal
scientist:businessman	Scientist	invent_for, create_for, are_funded_by, are_financed_by,  are_guaranteed_by, experiment_on	Businessman
scientist:restauranteur	Scientist	invest_in, experiment_on	Restauranteur
soccer player:soccer player	Soccer player	play_against, compete_with, compete_against	Soccer player
soccer player:athlete	Soccer player	play_against, compete_with, compete_against	Athlete
soccer player:footballer	Soccer player	play_against, compete_with, compete_against	Footballer
athlete:soccer player	Athlete	play_against, compete_with, compete_against	Soccer player
athlete:athlete	Athlete	play_against, compete_with, compete_against	Athlete
athlete:footballer	Athlete	play_against, compete_with, compete_against	Footballer
