Root	Antonym
uncritical	critical
prudent	inadvisable, decadent, imprudent, reckless, intrepid, unwise
stringy	muscular
unplanned	planned, premeditated
welcome	unwished-for, unwelcome
conquered	conquering, enthroned, triumphant, jubilant, winning, crowned, throned
enjoyable	nervewracking, tiresome, gruesome, irksome, annoying, unpleasant
boastful	coy, shy, modest
wriggly	stiff, straight
evillooking	benign
humane	inhuman, unhuman
triumphant	vanquished, deposed, dethroned, conquered, toppled, defeated
untraditional	traditional
primary	secondary, oblique
stunning	unattractive, ugly
desirable	abhorrent, undesirable, unthinkable, unwanted
coiled	straight
low	high
barbaric	civilized, civilised
disagreeable	agreeable
untalented	gifted, gifted], talented
irresponsible	responsible
disreputable	respectable, impeccable, reputable, respected
displeased	pleased
shifty	honest
telling	uninformative
forthcoming	reticent, terse, laconic
calculated	uncalculated, instinctive
trashy	honorable, classy
fleet	slow, plodding
prolix	concise, terse
riddled	homogeneous, pure
passionless	fervent, horny, excited, passionate, lusty, impassioned, giddy
tumultuous	unremarkable
changing	fixed, constant
heedless	thoughtful, attentive
womanly	unfeminine, masculine
diaphanous	opaque
non_obvious	selfevident, inescapable
diversified	undiversified
slick	rough
isolated	interconnected, connected, accessible
noncommercial	commercial
intentional	unintentional, accidental
styleless	stylish, fashionable
fugly	beautiful, attractive, pretty, sexy
inconstant	constant
titled	lowborn, impure, ignorant, ignoble, unclean, coarse, untouchable, profane, wicked, second-class
capable	incapable, handicapped, incompetent
platonic	sexual
fat	trim, fat-free, nonfat, skinny, rangy, fit, thin, handsome, cadaverous, slender, slim, lean
hypnotic	boring
complaining	uncomplaining
sloppy	fastidious, unerring, meticulous, disciplined, thorough, rigorous, clinical, exacting
obvious	indecipherable, stealthy, mysterious, subliminal, inscrutable, subtle
graceful	clumsy, ignoble, graceless, unsightly, awkward
charismatic	boring, crude, rude, obnoxious
brutal	caring, kind, beloved
intimidating	outnumbered, relaxing, retreating
flustered	focused, determined, nonchalant
instinctive	mannered, calculated
harmful	advantageous, innocuous, harmless, beneficial
whitepink	black
chivalrous	uncultivated, uncouth, vulgar, rude, undiplomatic, selfish, belligerent, disrespectful, impolite, oafish, uncultured, crude, boorish, crass
jubilant	vanquished, conquered, defeated
localized	pervasive, ubiquitous
charitable	uncharitable, stingy
homogeneous	variegated, varied, riddled, heterogeneous, mixed
restful	disturbing, wakeful
lowclass	highclass
multifaceted	onedimensional, onesided, simplistic
undeveloped	exploited, developed
heartwarming	disturbing
dimmed	bright, radiant
inclined	horizontal
stormy	calm, placid
cherished	overlooked
spotty	clear-skinned
wellbehaved	rowdy, ill-behaved
sympathetic	unappealing, pitiless, unfeeling, unsympathetic, unlikable, unlikeable
loveable	unlovable, hateful
catastrophic	harmless
sheer	horizontal
coercive	open_minded
sufficient	insufficient, deficient
faithless	devout, pious, devoted, loyal
perishable	imperishable
unintended	intended
sickly	mighty, strong, healthy
razed	thriving
seamless	uneven
revolutionary	banal
sexual	impotent, platonic, sexless
inconsiderate	devoted, considerate
spongy	rigid, stiff
restless	sedentary
unacceptable	acceptable
off-putting	tempting
quiet	deafening, loud, noisy, raucous, percussive
painful	fortunate, painless
liberated	enslaved, shackled, constrained, unfree, chained, restrained
unrhythmic	rhythmic
fatal	nonfatal
guileless	shrewd, cunning
scintillating	boring
intended	unintended
subliminal	obvious
feathered	featherless, unfeathered
undiversified	diversified
elaborate	basic, simple
wounding	harmless
good	bad, evil
sane	crazed, delusional, insane, loony, mad, nuts, nutty, gaga, batty, mental, crazy
unbiased	partisan
untamed	domesticated, docile, tame, tamed
innate	learned, environmental
direct	elliptical, undirected, circuitous, indirect, retrograde
continent	incontinent
recognisable	recognisable
rhythmic	unrhythmic, arhythmic
unguarded	protected, reinforced, armored, fortified, defensive, camouflaged
inhospitable	hospitable
individual	indistinct
unopposable	opposable
uncomplaining	complaining, plaintive
flabby	sinewy, muscular, lean
repetitive	nonrepetitive
acid	bland
downcast	elevated
gentle	harsh, bracing, menacing, tough
benign	virulent, pernicious, malignant, evillooking, malign
inconclusive	conclusive
imprudent	prudent, wise
drunk	sober, abstinent
illegible	legible, readable
quick	slow, sluggish
neutral	partisan, prejudiced
clear	inky, cloudy, ill-defined, unclear, murky, smoky, opaque, hazy
unmelodious	tuneful, musical, melodic
clean	impure, contaminated, unclean, dusty, soiled, filthy, bloody, grimy, dirty, messy
fragmented	united, unified, unitary, cohesive
periodic	irregular
closedminded	open-minded
unsanitary	sanitary, hygienic, healthful
radiant	dull, unsightly, dimmed, dim
imitative	authentic, genuine, original
recollective	forgetful
hypertensive	hypotensive
silly	impressive, great, sensible, clever, serious, profound, intelligent
secluded	central
climactic	anticlimactic
furred	bald
glorious	inglorious, dishonorable, ignoble
foamy	flat, stale
unforeseeable	predictable
inefficacious	efficacious
pristine	flaky, scummy, tainted
public	clandestine, anonymous, hidden, secret, secretive, private
intellectual	unsophisticated, nonintellectual, folksy
self_indulgent	altruistic, humble, selfless, sacrificing
poised	ignorant, clumsy, tasteless, inelegant, vulgar, graceless, coarse, awkward, crude, clunky
unworkable	viable, pliable
aquatic	non-aquatic
upfront	duplicitous
national	foreign
unskilled	skilful, skilled, trained, drilled, expert, skillful, masterful
hefty	portable, sunken, dainty, spindly, small
silky	rough
fast	slow
quotable	unrepeatable
amazing	commonplace, banal, mundane
jagged	smooth
hurtful	soothing
lethargic	perky, flighty, vigorous, feisty, energetic, fit, hardworking, keen, sporty
fleeting	eternal, permanent
airy	airless, dank, stifling, stuffy
miniscule	huge
packaged	unpackaged
brazen	dignified, demur
rusty	shiny
palpable	subtle
muddled	focused, determined
articulate	expressionless, inarticulate
unchristian	christian
daring	frightened, meek, cowering, trembling, scared, safe
amicable	hostile
tractable	indurate, intractable
futuristic	nostalgic
sedate	energetic
intense	mild
earnest	disingenuous
cramped	roomy, luxurious, capacious, comfortable, spacious
demure	overpowering, impure, threatening
carefree	enslaved, shackled, oppressed, indentured, manacled, nervous, unfree, desperate, caged, neurotic, chained, anxious, trapped, finicky, authoritarian
delightful	joyless, rude, pernicious, threatening, devastating, boring, despised, annoying
orange	colorless
hardboiled	soft
alarming	unremarkable, boring, unalarming
contemplative	reactionary
paramilitary	civilian
uneven	even, monotonous, seamless, level
caged	unconstrained, carefree, unrestrained, free
nonterritorial	territorial
interconnected	isolated
exhausted	pampered, vigorous, energetic, spoiled
dishonored	honored
learned	unconditioned, uneducated, illiterate, innate, inexperienced, unlearned
impolite	courtly, polite, chivalrous, courteous
selfcontained	dependent
fearless	frightened, trembling, scared, fearful, timid
displeasing	pleasing, handsome
equitable	unjust
unforgiving	forgiving
tactile	insensitive
accommodating	unaccommodating, unobliging
well-balanced	wacky, jangly
conspicuous	inconspicuous, invisible
gruesome	enjoyable, handsome
unvaried	varied
nontoxic	toxic
perceptible	imperceptible, unobvious
hardworking	lazy, laidback, lethargic, shiftless, languid
lengthy	brief, short
arthritic	sinuous, spry, acrobatic, lithe, nimble, agile
blonde	brunette
calming	disturbing, spooky
unplanted	planted
unpracticed	practiced
jangly	well-balanced
singular	commonplace
powerless	conquering, overpowering, great, formidable, regal, rich, mighty, magisterial, overwhelming, strong, grand, awesome, deified, powerful, commanding, menacing, magnificent
disadvantageous	advantageous
cooked	raw
developed	unformed, undeveloped
branded	unbranded
needed	unnecessary
unexpansive	expansive
versed	spontaneous
avid	indifferent
untraceable	traceable
demoralizing	encouraging
unrepeatable	cyclical, quotable, repeatable
noisy	tranquil, quiet, noiseless, soundproof
imperious	lowly, humble
plush	uncomfortable
arbitrary	justified, nonarbitrary
snappish	docile
enclosed	unenclosed
everyday	incredible, rare
worthy	disgusting, mean, corrupt, despicable, rotten, ignoble, useless, inadequate, unlovable, pathetic, dishonest, guilty, dirty, unworthy, worthless, unattractive, miserable, crude
buoyant	heavy
time-consuming	instantaneous
straightlaced	unconventional, intrepid, kinky, punk
grandiose	unimpressive
billowy	flat
gruff	affectionate, meek, cowering, gregarious, amiable, affable
idle	active, busy
exiled	throned
prejudiced	impartial, unprejudiced, neutral
trifling	impressive, great, grand, significant
creamy	watery
vindictive	forgiving
manoeuvrable	clunky
supportive	indifferent, disruptive, unsupportive, humiliating, oppressive
alien	local, domestic
domestic	overseas, foreign, alien, abroad
decent	evil, indecent
protective	unprotective
cleancut	rough-hewn
untrained	trained, drilled, experienced
unidentifiable	identifiable
elegant	gaudy, inelegant
misanthropic	companionable
competent	incompetent
safe	hazardous, perilous, daring, risky, dangerous, unsafe
informative	uninstructive, unilluminating, unenlightening, uninformative, misleading
tattered	sartorial
weak	forceful, overpowering, staunch, great, hardy, mighty, vigorous, fortified, fullblooded, strong, resilient, bulletproof, unstoppable, godly, majestic, bold, powerful, brawny
thick	thin, wiry, cultured
lusty	passionless
unfamiliar	familiar
volcanic	peaceful, calm
fashionable	outdated, archaic, styleless, unfashionable, outmoded
credible	incredible, unbelievable
unsteady	steady
vicious	kind
unhealthy	healthy, fit, healthful
cacophonous	euphonious, lyrical, harmonious
austere	baroque
lax	imperative
sloped	level
unfit	healthy, fit, athletic, buff
fattening	healthy, nutritious
fitted	baggy
oblique	primary
designed	unintentional
nonclassical	classical
opposable	unopposable
whole	holey
attacking	fleeing, retreating, coy, hiding, defeated
athletic	unfit
insurmountable	solvable, surmountable
inexact	exact
uncontrollable	controllable, manageable
violent	charming, nonviolent
piddling	substantial
complete	incomplete, uncomplete
uninviting	welcoming, inviting, cuddly
raging	calm
aloof	attentive
unprofitable	lucrative, profitable
courteous	impolite, discourteous
contented	unhappy, gloomy, sad, depressed, discontented, discontent, peevish, miserable
immanent	transient
nice	awful, nasty
unlogical	logical
dimwitted	clever
genuine	imitative, fake, counterfeit
melodious	unmusical, unmelodic, untuneful, shrill, tuneless
regrettable	fortunate
playable	unplayable
docile	arrogant, fearsome, dreaded, haughty, threatening, feral, obstinate, untamed, snappish, rampaging, stubborn, commanding, spirited, menacing
physical	intangible, insubstantial
unalterable	changeable
residential	nonresidential
malnourished	rich, pampered, spoiled
fortuitous	unfortunate
moral	amoral, loose, immoral
statuesque	skinny
condemned	beloved
insincere	sincere
unlimited	limited
ruling	cowed, deposed, subservient, fawning, dethroned, subjugated, servile, toppled, subordinate, submissive, obedient
selfserving	selfless
controllable	uncontrollable
ample	stingy, meager
shattered	unbroken
unconnected	connected
fake	authentic, genuine
slowmoving	swift
unfashionable	groovy, hip, stylish, fashionable
profound	silly, superficial
mobilized	disorderly, disorganized
unpalatable	toothsome
uncolored	colorful
irritable	happy, even-tempered
surmountable	insurmountable
unadventurous	adventurous, perverted
industrious	lazy
pleasurable	unpleasant
unhelpful	helpful
christian	unchristian
plump	skinny, bony
endurable	fragile
unconventional	schematic, cliched, conventional, straightlaced, formulaic, routine
flexible	uncompromising, inflexible, wooden, rigid, stiff, stubborn, dogmatic, unbending
sumptuous	barren
torturous	comfortable
transparent	murky, opaque, camouflaged
disloyal	faithful, dutiful, patriotic, loyal
unwavering	wavering
penny-pinching	extravagant
changeful	unchangeable
overlooked	cherished, treasured
beneficial	toxic, insidious, detrimental, ruinous, harmful, disastrous
delectable	disgusting, inedible
guilty	innocent, blameless, clean-handed, worthy
ghastly	handsome
fair	rigged, foul, unjust, unfair
constricted	unconstricted, free
special	ordinary
unbecoming	becoming, attractive
full-time	parttime
under-nourished	beefy
unambitious	ambitious
fussy	omnivorous, easy-going
nonpregnant	pregnant
wavering	unwavering
insecure	protected, untroubled, reinforced, confident, fortified, happy, comfortable
commercial	noncommercial
explicit	implicit, inexplicit
tireless	tired
sophisticated	shabby, uncouth, childish, vulgar, unsophisticated, cheesy, quaint, naive, primitive, menial, rudimentary, rustic
august	reviled, lowly, ignominious, disgraced, unpopular, despised, contemptible, unwanted, hated, outcast
unilluminating	illuminating, enlightening, informative
unnerving	worrying
forgiving	unforgiving, vindictive
moderate	immoderate
obsolete	functional, modern
novel	hackneyed
screechy	smooth
maladaptive	adaptive
unhuman	humane
uneatable	edible
menial	sophisticated
practiced	unpracticed
egocentric	altruistic, selfless
strenuous	easy
tempered	soft, malleable
incredulous	gullible
nerveless	nervy
inoffensive	unsavory, offensive, unsavoury, menacing
expansive	restricted, unexpansive
traceable	untraceable
courageous	frightened, ignoble, trembling, scared, cowardly, fearful
parched	watery
accidental	intentional
infrequent	incessant
winning	vanquished, demoralized, disgraced, battered, shamed, losing, retreating, conquered, defeated, crushed
illuminated	dark
joyful	distressed, unhappy, dreary, gloomy, mournful, dismal, somber, plaintive, discontented, sorrowful, miserable
thin	fat, thick, doughy, bloated, obese
instantaneous	time-consuming
inferior	lordly, prestigious, exalted, dominant, superior, lofty, powerful, royal
unconscious	selfaware, conscious
neurotic	happy, carefree
awful	wonderful, lovely, nice
uniform	various, differentiated, mottled, multiform
softened	reinforced
analytical	unthinking
limp-wristed	macho
noiseless	noisy
retarded	precocious
slippy	nonslippery
packed	empty
sugary	sour, sugarless
unexcited	excited
grave	whacky, laughable, fun, frivolous
illegitimate	legitimate
nuts	sane
aesthetic	ugly
prodigal	assiduous, responsible, frugal
unconstricted	constricted
unified	incoherent, fragmented, chaotic, disorderly, untidy, disorganized
smug	modest, besieged, humble, unassuming, unpretentious
discordant	agreeable
responsive	unresponsive
univocal	ambiguous, equivocal
unsaturated	saturated
red	pale
immune	liable
fidgety	inert
dirty	tidy, clean, worthy, pure, immaculate
uncrowded	crowded
glowing	dull
sensational	unsensational
indigestible	digestible
doughy	thin
malign	benign
rational	superstitious, emotional, irrational
formulaic	unconventional
diligent	lazy, negligent
sustainable	wasteful, unsustainable
sprightly	sluggish
meanspirited	generous
narrow	broad, wide
low_level	elite, mighty, high_level
asymmetric	symmetric, symmetrical
alkaline	acidic
practical	impractical
assiduous	prodigal
unenthusiastic	enthusiastic, giddy
filled	unfilled
tenacious	indifferent
uncivilized	civilized, civilised
spellbinding	boring, disenchanting
high_level	low_level
open	stifling, closed, guarded, proprietary, shut, sealed, impenetrable
affirmative	negative
abstinent	drunk
treasured	overlooked
unenterprising	enterprising
lined	unlined
unruly	well-behaved
frolicsome	inert
neoclassical	modern
depressed	cheery, happy, contented, delighted, chipper, cheerful, chirpy
spindly	strong, hefty
indelicate	decorous
populated	deserted
sparkling	flat
limber	stiff
communal	private
terse	verbose, forthcoming, prolix
beautiful	warty, hideous, dumpy, unsightly, gnarled, fugly, horrid, monstrous, ugly, homely
malleable	immutable, tempered
pickled	fresh
perverted	unadventurous, pure
unsentimental	sentimental, poignant, romantic
undefended	impregnable
connected	isolated, unconnected
inexperienced	trained, drilled, learned, streetwise, experienced
infertile	fertile, fruitful
erratic	consistent
bashful	arrogant, haughty
persuasive	dissuasive
wooden	flexible
superficial	penetrating, profound, architectural, deep
palatable	disgusting
raw	stewed, cooked
superior	outnumbered, inferior
abstemious	gluttonous, predatory
nervy	nerveless
infinite	finite, limited
imposing	discreet, subtle
rudimentary	sophisticated
infelicitous	felicitous
intoxicating	bland
invalid	kosher, valid
assigned	unassigned
hateful	lovable, loveable, amorous, beloved
maneuverable	unresponsive
deserted	bustling, populous, populated, crowed
spoiled	whipped, overworked, exploited, modest, self-effacing, humble, abused, exhausted, malnourished, unspoiled, harried, poor, overburdened, picturesque, traumatized
chicken	brave
severe	frivolous
bohemian	conservative
fierce	meek, cowering, scared, friendly, placid
taut	slack
ambitious	unambitious
obdurate	pliant
horrid	beautiful
personal	impersonal
unintelligible	comprehensible, intelligible
disorienting	relaxing
accountable	unaccountable
repulsive	gay, handsome, magnetic, attractive
meaty	insubstantial
motley	successful, monochromatic, tidy
totemic	insignificant
hollow	solid
amenable	defiant
upstanding	spineless, furtive
transient	immanent, eternal
luxuriant	uncomfortable
expert	unskilled
acceptable	unacceptable
dazzling	soporific
understandable	incomprehensible, bewildering
lubricious	dry
amorous	hateful
fastpaced	slow
unworthy	worthy, righteous
sublime	ridiculous
crowned	deposed, dethroned, conquered, toppled
unsavoury	savoury, savory, inoffensive
immoveable	portable
skillful	clumsy, unskilled
obtuse	acute
eternal	ephemeral, faddish, impermanent, fleeting, transient
ponderous	agile
unmanageable	manageable
auspicious	inauspicious, sinister, ominous, foreboding
unfriendly	friendly
unfledged	fledged, dreaded, mature
rectangular	circular
habitforming	non-addictive
replaceable	irreplaceable, unreplaceable
undignified	regal, dignified, deified
dense	wispy, lightweight, sparse, insubstantial, rarified
unfocused	focused, determined, focussed
walled	defenseless
pugilistic	peaceful
voiceless	talkative
homeless	rich
unfeeling	sensuous, sympathetic
relative	absolute
trying	conducive
conscious	unconscious
correct	wrong, incorrect
impoverished	lordly, rich, privileged
intelligible	unintelligible
numb	sensitive
supple	stiff
poignant	unsentimental
threedimensional	onedimensional
weakened	invulnerable, reinforced, tough, strengthened, hard, hardened
consistent	incoherent, inconsistent, erratic
grand	unremarkable, lowly, insignificant, meaningless, trivial, minor, inconsequential, helpless, humble, mediocre, tiny, pathetic, irrelevant, powerless, trifling, worthless, banal, small, puny
antiquated	modern
improbable	probable, likely
idealistic	pragmatic
demonstrative	undemonstrative
tart	sweet
toothsome	unpalatable
selfreliant	dependent
abashed	unabashed
ravenous	easily-satisfied
high	low
petty	impressive
ill-behaved	wellbehaved
major	minor
saintly	unchaste
well-defined	unclear, amorphous
unclimbable	scalable
uninformed	informed
saturated	unsaturated
muddy	spotless, dry
abandoned	privileged
strident	mincing
unyielding	pliant, yielding
patterned	plain, unpatterned
likable	unappealing, detestable, unsympathetic, unlikable, unlikeable
fizzy	stale
compact	loose
international	local
independent	reliant, helpless, dependent, brainwashed, subordinate
nontechnical	technical
unenlightening	illuminating, enlightening, informative
animate	inanimate
stiff_jointed	loosejointed
informed	uneducated, uninformed
unfortunate	merry, blessed, lucky, happy, fortuitous, fortunate, enviable
unprincipled	scientific, dutiful, principled, honest
woody	barren
troubling	relaxing, fortunate
taciturn	talkative, voluble
fanatic	indifferent, disinterested
lucrative	unrewarding, unprofitable
still	animated, lively
civilized	barbarous, barbaric, uncivilized, savage, noncivilised
luminous	dull
plaintive	uncomplaining, joyful
unusual	familiar
airtight	leaky
final	intermediate
titillating	uninteresting
unreplaceable	replaceable
weightless	weighty
commodious	incommodious
thankful	cursed, ungrateful
musical	unmusical, dissonant, nonmusical, unmelodic, unmelodious, tonedeaf
classic	modern
vigilant	inattentive
startling	unsurprising
savage	caring, civilized, pleasant
dynamic	static, turgid, sluggish
unmovable	portable, transportable
hopeful	hopeless
farsighted	shortsighted, myopic
convincing	unconvincing
handsome	bald, scruffy, withered, hideous, disgusting, horrible, grim, shocking, decrepit, inelegant, horrifying, despicable, grungy, unappealing, unclean, loathsome, deformed, unsightly, gnarled, freakish, grotesque, scary, foul, repellent, wizened, fat, displeasing, gruesome, ghastly, repulsive, drab, unattractive, wrinkled, bloated, brutish, ugly, distasteful, ungainly, swollen, ragged, balding
convoluted	concise, stylised, clearcut, simple, straightforward
interesting	boring, uninteresting
soundproof	noisy
outmoded	modern, fashionable, current
venal	devoted
crowed	deserted
lithe	arthritic, stiff
unloving	affectionate
delighted	unhappy, gloomy, sad, depressed, discontented, discontent, peevish
compassionate	ruthless, merciless, sadistic
sadistic	compassionate, caring, merciful
expendable	irreplaceable, indispensable, priceless
sheepish	aggressive
steamy	dry
abrupt	gradual
binding	non_binding
able	unable
unscalable	scalable
everlasting	disposable
unsound	sound
unthinkable	desirable
culpable	innocent
transcendent	banal
flawless	flawed
smoky	clear
atmospheric	dull
rigid	limp, springy, slithering, rubbery, spongy, flexible, stretchy, slithery, elastic, squeezable, flimsy
drab	colorful, polished, dashing, handsome
devastating	serene, balmy, calm, undisturbed, limpid, delightful, fortunate, uneventful, comforting, placid
raucous	timid, hushed, prim, quiet
exclusive	inclusive
percussive	quiet
right	wrong, left
unvarying	varied
stout	skinny, lean
flippant	serious
acidic	alkaline, sweet
oily	dry
folksy	intellectual
temperamental	even-tempered
juiceless	juicy
unmistakable	nondescript
repeatable	unrepeatable
heterosexual	homosexual
informal	formal, authoritarian, unapproachable
adequate	inadequate
abundant	scarce, paltry
tame	racy, feral, untamed, sporty, menacing, wild
devilish	angelic
bulletproof	fragile, soft, weak, permeable
deft	clumsy
ostentatious	unpretentious
opaque	translucent, limpid, diaphanous, clear, transparent
typical	fishy
convex	concave
teeny	huge
high-minded	earthy
ominous	auspicious
heterogeneous	homogeneous, homogenous
airworthy	flightless
incomprehensible	explicable, userfriendly, understandable
false	true, factual, truthful
tall	runty, squat, short
dutiful	disobedient, lazy, unfaithful, disloyal, unprincipled
festive	joyless
difficult	easy, manageable
likeable	unappealing, unsympathetic, unlikable, unlikeable
hungry	satisfied
laudable	disgraceful
elusive	accessible
deep	shallow, highpitched, superficial
holy	unhallowed, damned, unholy, blasphemous, ungodly, cursed, impious
sappy	hard-nosed, cynical, predatory
abroad	domestic
sensible	incongruous, insensible, idiotic, silly, unreasonable, confusing
insensitive	touchy, charming, sensitive, tactile, empathic
worrying	reassuring, unnerving
sugarless	sugary
hygienic	unsanitary, unhygienic
wideawake	sleepy
cheerless	cheerful
environmental	innate
unprepossessing	proud
unbreakable	fragile, breakable
nimble	arthritic, stiff, ungainly
dignified	laughable, insulting, tasteless, ignoble, vulgar, abrasive, disrespectful, scandalous, brazen, undignified, unprofessional, foul-mouthed, distasteful, crude, cheap, boorish, crass
unmanly	manly, masculine, macho
pretty	unsightly, fugly, unattractive, ugly
insular	outward_looking
valued	worthless
enchanting	boring, boorish
indispensable	disposable, dispensable, expendable
drafty	insulated
noble	lowborn, impure, ignorant, lowly, ignoble, unclean, coarse, profane, wicked, second-class
inattentive	solicitous, inquisitive, attentive, vigilant
humanitarian	ignoble
original	trite, imitative, corny, unoriginal
political	impartial, nonpolitical
unspecified	specified
blithe	anxious
stiff	flaccid, gymnastic, sinuous, limp, acrobatic, floppy, bendable, wriggly, spongy, flexible, limber, supple, lithe, nimble, agile, lissom, wiggly
undistinguishable	distinguishable
optional	obligatory
aerodynamic	clunky
profitable	unprofitable
awesome	insignificant, trivial, pathetic, powerless, uninspiring, worthless, ridiculous
definitive	vague
wanted	unwanted
discourteous	courteous
discontented	content, happy, contented, joyful, delighted, optimistic
lofty	meek, lowly, despicable, insignificant, trivial, subservient, bedraggled, humble, destitute, inferior, poor, unimportant, submissive
obscure	famous
negligent	diligent
ungracious	gracious
multicolored	monochromatic, blackandwhite
light	dark, heavy, leaden
untrustworthy	trusted, trusty, trustworthy
distinct	indistinct, fuzzy, blurred, blurry
disjoint	inseparable
resolute	irresolute
unripened	ripe, dreaded, mature
blurred	distinct
estimable	contemptible
unstudied	deliberate
bright	shady, dull, dark, dimmed, dim
gracious	arrogant, haughty, ungallant, ungracious, unapproachable
sneaky	honest, trustworthy
fortunate	unhappy, depressing, distressing, damaging, agonizing, tragic, discouraging, unjust, desperate, undesirable, disheartening, disappointing, sad, painful, regrettable, unfortunate, troubling, devastating, cursed, unlucky, unwanted, miserable, frustrating, unfair
reddish	pale
remorseless	remorseful, sorry
monogamous	polygamous, bigamous
carnivorous	vegetarian
well-formed	misshapen
engrossing	boring
unsinkable	sinkable
overweight	scrawny, slim
dear	unloved
comfy	uncomfortable
adorable	unlikable
architectural	superficial
sullen	flirtatious, communicative, interactive, expressive
subjugated	reigning, leading, ruling
unaccessible	accessible
deaf	unresponsive
tangy	bland
low-key	stately
dead	vigorous, fresh, animated, lively, alive, thriving, vivacious
visionary	blind
unheeding	thoughtful
unflattering	flattering
unpleasant-smelling	fragrant
confined	unconfined
taxable	nontaxable, exempt
sinkable	unsinkable
underdressed	overdressed
surgical	blunt
fireproof	flammable
operational	inactive
shriveled	puffy, fresh, juicy
bigbellied	slim
nonabsorptive	absorbent
rampaging	fleeing, spineless, domesticated, retreating, docile, coy, defeated
unstoppable	slight, feeble, weak, stoppable
costly	inexpensive, cheap
chaotic	organized, organised, orderly, united, unified, regimented, stabile, cohesive
noninvasive	intrusive, invasive
voluble	taciturn
masterful	unskilled
cadaverous	fat
warming	chilling
easy-going	fussy
humiliating	supportive
jittery	calm
ruffled	unruffled
steady	variable, shaky, jumpy, unsteady, unstable, wobbly
dissolute	honorable
pleasant	grim, grumpy, agonizing, gross, savage, vile, cross, peevish, nasty, cruel, unpleasant, irate
uninspiring	thoughtprovoking, dashing, awesome, inspiring, commanding
craven	fighting
suburban	central
magnetic	repulsive
irreverent	reverent
inescapable	non_obvious
painless	painful
quarrelsome	affable
reflexive	premeditated
crisp	limp, soggy
avoidable	inevitable
abstract	concrete
mixed	homogeneous
insusceptible	susceptible
tough	tender, soft, gentle, weakened
merciful	merciless, unmerciful
unshaven	smooth, tidy, shaven
frumpy	glamorous, gorgeous
broadminded	narrowminded
tangible	intangible
noxious	charming, perfumed, innocuous, aromatic, harmless, fresh, fragrant
tracked	trackless
monstrous	beautiful
respected	seedy, unqualified, shady, infamous, inconsequential, sleazy, immoral, disgraceful, unreliable, dishonest, disreputable, rumpled, incompetent, denounced
unlearned	learned
incorrigible	teachable
game	unwilling
perfect	imperfect
inert	frisky, explosive, lively, vibrant, fidgety, frolicsome, wayfaring, incendiary, radioactive, volatile, giddy, reactive, combustible
retired	busy, sitting
artificial	biological, organic, natural
trackless	tracked
boring	shocking, intriguing, compelling, enthralling, thrilling, suspenseful, spectacular, riveting, mesmerizing, dashing, hypnotic, charismatic, scintillating, delightful, alarming, spellbinding, interesting, enchanting, engrossing, magical, gripping, engaging, sporty, exhilarating, entertaining, dramatic, inspirational, exciting, fun
sleepy	lively, wideawake
inebriated	sober
incisive	blunt
wayfaring	static, inert
clinical	sloppy
greasy	dry
nonphilosophic	philosophical
responsible	feckless, irresponsible, prodigal
nonspecific	specific
enervating	soporific
hohum	exciting
despised	honored, adored, celebrated, appealing, venerated, worshipped, revered, delightful, august, beloved
snappy	slow
unchanging	variable, changeable
romantic	hard-nosed, unsentimental, unromantic, cynical
sparse	populous, luxurious, dense
unselfish	selfish
brainless	intelligent, shrewd, clever, smart, sentient
vulnerable	overpowering, protected, impervious, invulnerable, reinforced, armored, fortified, strong, strengthened
plentiful	barren
unbranded	branded
confused	clear-thinking, clearheaded
magical	boring, mundane
breakable	unbreakable
faceless	identifiable
permanent	ephemeral, temporary, impermanent, fleeting
erudite	ignorant, uneducated, illiterate
indefinite	definite
soothing	itchy, jarring, scarey, scratchy, sore, abrasive, threatening, aggravating, hurtful, stinging, irritating
cursed	anointed, blessed, lucky, consecrated, thankful, holy, fortunate, enviable, beloved
dry	clammy, soggy, succulent, damp, stewed, drippy, lubricious, muddy, steamy, oily, greasy, sodden, soppy, wet, juicy, moist, humid, gushing, sticky
eerie	comforting
vile	pleasant, beloved
pregnant	nonpregnant
nutty	sane, smart
heedful	thoughtless
inept	majestic
majestic	disgusting, wretched, unremarkable, insignificant, pointless, helpless, pathetic, pitiful, weak, inept, whining, worthless, puny
depraved	honorable
godly	corrupt, dumb, evil, unclean, irreligious, weak, wicked, ugly, crass
improvident	provident
plain	fancy, ornate, patterned, checkered
luminescent	dark
significant	insignificant, trivial, inconsequential, trifling, unimportant, negligible
specified	vague, unspecified
soft_skinned	leathery
virile	impotent
contemptible	honorable, honored, fearsome, adored, formidable, celebrated, venerated, mighty, worshipped, revered, august, estimable, powerful, beloved, magnificent
shiftless	conscientious, hardworking
frugal	prodigal
terrible	great
keen	lethargic, sluggish
uneventful	hectic, devastating, eventful, drastic
touchyfeely	standoffish
gripping	boring
whining	majestic
sharpeyed	blind
stoic	crying, chatty, anxious, fearful
valuable	valueless, worthless
clearheaded	confused
worthless	great, formidable, precious, prestigious, magisterial, successful, worthy, grand, valued, awesome, majestic, valuable, priceless, important
unpresidential	presidential
versatile	limited
unconcerned	caring, concerned
discontent	content, contented, delighted
unsettled	settled
uncommon	common
imperative	lax
talentless	gifted, trained, talented, drilled
eventful	monotonous, uneventful
servile	reigning, leading, dominant, ruling
sorrowful	joyful
crosseyed	eagle_eyed
emphatic	unremarkable
